"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection"
"2026-kastner-oracle-longitudinal-OBS-014","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","strategy-classification","1993","competitive-strategy","Aggressive TPC benchmarking + channel pricing + PL/SQL lock-in as three-pillar retention strategy","high","ingest-extraction","archive-mining","nti-6-rdbms-technology-48f4aa","Kastner identified Oracle's three competitive moats as early as 1993: benchmark wins to justify price; aggressive channel; PL/SQL as switching-cost generator","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-015","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","market-data","1993","rdbms-market-share-1993","Oracle held approximately 35% of RDBMS market revenue 1993","medium","ingest-extraction","archive-mining","nti-6-rdbms-technology-48f4aa","Source: Kastner RDBMS Report Card 1993; IBM DB2 second; Sybase/Informix competing aggressively in UNIX segment","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-016","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-rdbms","market-data","1997","rdbms-market-share-1997","Oracle held approximately 42% of RDBMS market revenue 1997","high","ingest-extraction","archive-mining","cab199-1-2-0cb163","Source: Kastner CA Sales Training RDBMS overview 1997; Oracle market leadership consolidated through decade; IBM DB2 second at ~28%","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-017","2026-kastner-oracle-longitudinal","oracle-corporation","tpc-benchmark","thematic-thread-decomposition","1992","thread-2-tpc-benchmark-population","~15 benchmark observations 1992–2003","high","ingest-extraction","archive-mining","","THREAD-2: TPC Benchmarks. Oracle dominated TPC-C records throughout 1990s; Kastner used TPC results as primary competitive currency in client briefings and published analyses","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-018","2026-kastner-oracle-longitudinal","oracle-corporation","tpc-benchmark","benchmark-result","1992","tpc-c-world-record-1992","Oracle/DEC VAX achieved TPC-C world record 1992 — first of multiple Oracle TPC-C records","high","ingest-extraction","archive-mining","nti-6-rdbms-technology-48f4aa","Oracle's TPC-C record streak established credibility as performance leader; IBM DB2 and Sybase were primary challengers","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-019","2026-kastner-oracle-longitudinal","oracle-corporation","tpc-benchmark","benchmark-result","1996","tpc-c-hp-oracle-record","Oracle on HP achieved TPC-C record on HP9000/K570 cluster 1996","high","ingest-extraction","archive-mining","rdbms-for-ibm-powera~1-7a44be","Kastner Power Academy training 1996 cited Oracle/HP TPC-C dominance as key selling point for IBM POWER vs. Oracle/HP","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-020","2026-kastner-oracle-longitudinal","oracle-corporation","tpc-benchmark","expert-opinion","1997","tpc-benchmark-as-competitive-currency","TPC results were the single most persuasive data point in enterprise RDBMS competitive sales 1992–2002","high","ingest-extraction","archive-mining","cab199-1-2-0cb163","Kastner's consistent use of TPC benchmarks in Oracle-adjacent studies confirms their centrality; Kastner also served as TPC audit client for IBM zSeries","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-021","2026-kastner-oracle-longitudinal","oracle-corporation","tpc-benchmark","actual-outcome","2003","tpc-benchmark-decline","TPC benchmarks declined as primary competitive currency after 2003 as cloud and TCO metrics replaced raw throughput","verified","web-source","wiki-driven-replication","","TPC-C submissions declined sharply post-2005 as virtualization and cloud changed the competitive frame; last major Oracle TPC-C record push approximately 2006","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-022","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","thematic-thread-decomposition","1995","thread-3-oracle-office-population","39 observations in aberdeen-1995-oracle-interoffice alone; 37 office-keyword obs total","high","ingest-extraction","archive-mining","","THREAD-3: Oracle Office / InterOffice. The most analytically distinctive Oracle thread in the archive. Oracle InterOffice (1995) is the earliest product in the entire archive to feature automated document summarization — a harbinger of AI two decades before LLMs","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-023","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","technology-assessment","1995","oracle-interoffice-product-category","Modular cross-platform groupware: messaging, document management, workflow, scheduling — built on Oracle RDBMS","high","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","Aberdeen 1995: Oracle InterOffice deconstructs monolithic predecessors into functional modules; Common Access Layer as standard interface; SQL data access from any desktop","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-024","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","technology-assessment","1995","document-summarization-feature","Oracle InterOffice included automated document summarization — first such feature documented in the Kastner archive","high","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","To Kastner, Oracle InterOffice's document summarization was the first hint of an AI routine to come two decades later. No earlier product in the 73-study archive claims this capability.","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-025","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","viability-prediction","1995","oracle-interoffice-competitive-lead","Aberdeen predicted Oracle had 6–12 month competitive lead over nearest competitors with InterOffice","verified","outcome-linkage","archive-mining","aberdeen-1995-oracle-interoffice","Aberdeen (Kastner) believed Oracle's modular Internet-native architecture gave it a decisive lead over Lotus Notes and Microsoft Exchange","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-026","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","actual-outcome","2002","oracle-interoffice-competitive-lead-outcome","Oracle InterOffice failed to gain significant market share; Oracle abandoned the product 2002","verified","web-source","wiki-driven-replication","","CNET 2002-01-03: Oracle switched out its own InterOffice email system. Microsoft Exchange and Lotus Notes retained enterprise messaging market. Product prediction failed; concept prediction (Internet-native groupware) verified through Google Workspace","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-027","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","strategy-classification","1995","electronic-economic-community-concept","Aberdeen defined 'Electronic Economic Community' as new paradigm — businesses communicating without electronic walls via Internet","high","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","Visionary concept: Internet dissolves barriers between enterprises, partners, and customers; IS resources free to build strategic applications. Concept verified emphatically; specific product vehicle (InterOffice) was wrong.","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-028","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","technology-assessment","1995","platform-breadth","25 platform support — Windows NT / 95 / 3.1 / Mac / UNIX + PDA clients in roadmap","high","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","Oracle InterOffice supported 25 platforms at launch — remarkable cross-platform ambition for 1995; broader than any competitor","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-029","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","technology-assessment","1995","java-integration-roadmap","Oracle planned Java integration with InterOffice (Sun distributed objects / CORBA)","medium","ingest-extraction","archive-mining","aberdeen-1995-oracle-interoffice","Java integration roadmap noted by Aberdeen 1995; partially pursued but InterOffice discontinued before Java delivery matured","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-030","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-interoffice","actual-outcome","2026","document-summarization-prescience","Document summarization as AI capability became mainstream 2022–2026 with LLMs — 27 years after Oracle InterOffice","verified","web-source","wiki-driven-replication","","ChatGPT (2022) and subsequent LLMs made document summarization a standard enterprise capability. Oracle InterOffice offered a rule-based proto-summarization feature in 1995 — the earliest such claim in the archive.","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-031","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-developer2000","thematic-thread-decomposition","1996","thread-4-dev-tools-population","~30 observations 1993–2003 covering Oracle development tools","high","ingest-extraction","archive-mining","","THREAD-4: Development Tools. Oracle Developer/2000 and Designer/2000 were the primary client-server development environments of the 1990s enterprise; both Kastner-analyzed in depth","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-032","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-developer2000","technology-assessment","1997","developer2000-position","Oracle Developer/2000 was the leading enterprise forms-and-reports development environment for Oracle shops 1996–2000","high","ingest-extraction","archive-mining","1997-oracle-developer-2000-client-server-development-en-5f98ce","Aberdeen 1997 (15 obs): Developer/2000 provided Oracle-native forms/reports/graphics; tight PL/SQL integration; primary client-server toolset for Oracle Applications customization","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-033","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-designer2000","technology-assessment","1997","designer2000-position","Oracle Designer/2000 was the leading CASE/modeling tool for Oracle-centric enterprise data architecture","high","ingest-extraction","archive-mining","1997-oracle-designer-2000-3201a7","Aberdeen 1997 (13 obs): Designer/2000 provided process modeling / data modeling / application generation from models; tight integration with Developer/2000","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-034","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-developer2000","viability-prediction","1997","developer2000-internet-transition","Oracle Developer/2000 must evolve to Internet delivery or lose developer mindshare to Java/HTML tools","verified","outcome-linkage","archive-mining","1997-oracle-developer-2000-client-server-development-en-5f98ce","Aberdeen 1997 predicted the client-server tools transition to web was existential for Developer/2000","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-035","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-developer2000","actual-outcome","2003","developer2000-decline-outcome","Oracle Developer/2000 declined through 2000–2003; Oracle pivoted to Oracle Forms on Web and eventually Oracle APEX","verified","web-source","wiki-driven-replication","","Developer/2000 brand discontinued ~2003; Oracle Forms survived on web deployment path; Oracle APEX (2004) became the modern successor for Oracle-native low-code development. Prediction verified.","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-036","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nca","thematic-thread-decomposition","1996","thread-5-nca-population","~35 observations 1996–2001 on Network Computing Architecture","high","ingest-extraction","archive-mining","","THREAD-5: Network Computing Architecture. Ellison's bet that thin-client Java NCs would replace PCs. Aberdeen gave Oracle credit for Java strategy; the NC device failed but the Java-in-enterprise prediction was correct","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-037","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nca","strategy-classification","1996","nca-strategic-thesis","Oracle NCA positioned Java as the universal application delivery runtime replacing Windows PC as client standard","high","ingest-extraction","archive-mining","aberdeen-1996-oracle-network-computing-architecture","Aberdeen 1996 (29 obs): Oracle NCA proposed Java cartridges on Oracle Web Application Server + Oracle DB as universal enterprise platform; Ellison predicted sub-$500 NC device would replace PC","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-038","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nc","viability-prediction","1996","nc-device-market-prediction","Network Computer (NC) sub-$500 device will capture 20%+ of new enterprise client deployments by 1999","verified","outcome-linkage","archive-mining","aberdeen-1996-oracle-network-computing-architecture","Aberdeen 1996 credited Oracle's vision but noted NC success depended on network bandwidth availability and Java maturity","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-039","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nc","actual-outcome","2000","nc-device-outcome","NC device market share prediction failed; enterprise PC remained dominant; NC concept dormant until Chromebook (2011)","verified","web-source","wiki-driven-replication","","Oracle NC / Network Appliance / IBM NC device — all failed to gain market traction; enterprise PC share unchanged; Java Web Start partially realized NCA vision but failed commercially; Prediction refuted on device; concept eventually validated via Chromebook","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-040","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-nca","actual-outcome","2000","nca-java-component-outcome","Java as universal enterprise application runtime — NCA's core thesis — was substantially verified by 2000","verified","web-source","wiki-driven-replication","","Java enterprise adoption (J2EE/JEE) validated Oracle's bet that Java would be the universal application runtime; Oracle's Java cartridge model was wrong but the Java runtime prediction was right","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-041","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-applications","thematic-thread-decomposition","1997","thread-6-applications-population","~50 observations 1997–2006 on Oracle Applications and E-Business Suite","high","ingest-extraction","archive-mining","","THREAD-6: Oracle Applications / E-Business Suite. Oracle's transformation from database vendor to full enterprise application competitor. Katherine Jones primary analyst 2001–2003","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-042","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-applications","strategy-classification","1997","oracle-apps-expansion-thesis","Oracle leveraged database installed base to upsell integrated applications suite — same customer same platform strategy","high","ingest-extraction","archive-mining","cab199-1-2-0cb163","Kastner 1997 CA training noted Oracle's applications strategy as the defining second act: sell DB first; applications second; avoid best-of-breed displacement","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-043","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-ebusiness-suite","technology-assessment","2000","e-business-suite-positioning","Oracle E-Business Suite positioned as single integrated platform for supply chain + financials + HR vs. best-of-breed fragmentation","high","ingest-extraction","archive-mining","2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef","Aberdeen 2000 (12 obs): Oracle E-Business Suite claimed to eliminate integration cost of multi-vendor ERP; Internet-native architecture as key differentiator vs. SAP R/3","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-044","2026-kastner-oracle-longitudinal","sap","oracle-applications","competitive-position","2000","oracle-vs-sap-applications","Oracle and SAP shared enterprise ERP/Applications duopoly by 2000; Oracle stronger in financials; SAP stronger in manufacturing","high","ingest-extraction","archive-mining","2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef","Oracle's Internet-native EBS 11i architecture gave temporary Internet-era advantage; SAP R/3 initially slower to Internet-enable; by 2003 SAP mySAP recovered","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-045","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-ebusiness-suite","technology-assessment","2002","apps-world-ellison-new-face","Oracle presented softer customer-facing posture at AppsWorld 2002 — Ellison's 'kinder gentler' pivot toward applications customers","high","ingest-extraction","archive-mining","oracle-appsworld-insight-edit-4-813c2e","Katherine Jones Aberdeen 2002 (14 obs): Oracle acknowledged applications customer pain; Ellison personally apologized for EBS 11i upgrade difficulties; major tone shift from aggressive 1990s posture","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-046","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-applications","technology-assessment","2003","business-process-orientation","Oracle shifted Applications strategy from module-centric to business-process-flow-centric 2003","high","ingest-extraction","archive-mining","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","Katherine Jones Aberdeen 2003 (9 obs): Oracle adopted industry process frameworks; convergence with SAP's process orientation; precursor to Oracle Fusion process model","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-047","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-fusion","actual-outcome","2011","oracle-fusion-apps-launch","Oracle Fusion Applications launched 2011 as next-generation cloud-native replacement for E-Business Suite and PeopleSoft","verified","web-source","wiki-driven-replication","","Fusion Applications built on SOA/BPEL architecture; cloud delivery from 2012; Oracle Cloud ERP/HCM now primary growth vehicle; EBS and PeopleSoft maintained in extended support","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-048","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-peoplesoft","thematic-thread-decomposition","2003","thread-7-peoplesoft-acquisition-population","~10 observations 2003–2005 on hostile takeover","high","ingest-extraction","archive-mining","","THREAD-7: PeopleSoft Hostile Acquisition. Oracle's 18-month hostile bid for PeopleSoft (2003–2004) was the defining enterprise software M&A event of the era; acquisition completed January 2005","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-049","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-peoplesoft","strategy-classification","2003","hostile-bid-rationale","Oracle hostile bid for PeopleSoft rationalized as HCM capability acquisition + elimination of primary applications competitor","high","ingest-extraction","archive-mining","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","Aberdeen 2003 (5 obs — Alschuler/Minahan): Oracle bid $16.30/share June 2003; PeopleSoft defended with poison pill; bid eventually raised to $26.50; 18-month contest","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-050","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-peoplesoft","viability-prediction","2003","peoplesoft-customer-disruption-risk","PeopleSoft customers face significant disruption risk regardless of bid outcome — must plan for both scenarios","verified","outcome-linkage","archive-mining","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","Aberdeen 2003 advised PeopleSoft customers not to wait for bid resolution; evaluate hybrid scenarios; Oracle committed to 10-year PeopleSoft product support post-acquisition","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-051","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-peoplesoft","actual-outcome","2005","peoplesoft-acquisition-completion","Oracle acquired PeopleSoft January 2005 for $10.3B after 18-month hostile contest; DOJ antitrust challenge failed","verified","web-source","wiki-driven-replication","","Oracle paid $26.50/share; PeopleSoft board capitulated December 2004; Oracle immediately acquired Siebel 2006; acquisition thesis confirmed — hostile bids succeed in mature enterprise software","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-052","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-peoplesoft","actual-outcome","2026","peoplesoft-product-longevity","PeopleSoft HCM and JD Edwards still actively deployed in 2026 — 21 years post-acquisition","verified","web-source","wiki-driven-replication","","Oracle maintained PeopleSoft HCM and JDE product lines under extended support; large installed bases refused migration to Fusion; Oracle sold both migration path and continued maintenance","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-053","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-v8","thematic-thread-decomposition","1997","thread-8-database-evolution-population","~60 observations 1997–2010 tracking Oracle8 through 10g","high","ingest-extraction","archive-mining","","THREAD-8: Oracle Database Evolution (Oracle8 through 10g). The core technology arc from object-relational to Internet-era to grid computing — the most densely observed Oracle technology thread","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-054","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-v8","technology-assessment","1997","oracle8-object-relational","Oracle8 introduced object-relational extensions — Oracle's answer to the object database challenge","high","ingest-extraction","archive-mining","1997-oracle8-the-database-for-network-computing-674c9d","Kastner 1997 (20 obs): Oracle8 added object types / nested tables / object views; positioned as 'database for network computing'; Java stored procedures via Oracle8i (1999)","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-055","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-v8","technology-assessment","1997","oracle8-nca-integration","Oracle8 positioned as the data tier of NCA — Java cartridges in the app server; Oracle8 as the persistence layer","high","ingest-extraction","archive-mining","1997-oracle8-the-database-for-network-computing-674c9d","Kastner 1997: Oracle8 designed as the data backbone of the NCA stack; InterOffice as the groupware layer; Developer/2000 as the tooling layer — coherent but never fully realized as a platform","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-056","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-9i","technology-assessment","2001","oracle9i-rac-architecture","Oracle9i Real Application Clusters provided active-active shared-disk high availability — technically superior to prior failover models","high","ingest-extraction","archive-mining","2001-compaq-tru64-unix-and-oracle9i-clusters-reduce-cos-17b4b2","Dorin Aberdeen 2001: Oracle9i RAC on Compaq Tru64 reduced HA costs vs. traditional standby; RAC became the dominant Oracle high-availability architecture","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-057","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-10g","strategy-classification","2003","oracle-10g-grid-positioning","Oracle 10g introduced Grid Computing branding — Oracle's reframing of multi-server architectures as 'utility computing grid'","high","ingest-extraction","archive-mining","technology-themes-2003-04","Kastner IT Themes 2003: Oracle 10g positioned database as grid resource; anti-Itanium / anti-big-iron messaging; aligned with Dell partnership on commodity x86","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-058","2026-kastner-oracle-longitudinal","oracle-corporation","oracle-10g","actual-outcome","2026","oracle-database-continuous-dominance","Oracle Database maintained enterprise RDBMS market leadership continuously from Oracle7 (1992) through Oracle 23ai (2024)","verified","web-source","wiki-driven-replication","","No version transition (7→8→8i→9i→10g→11g→12c→18c→19c→21c→23ai) produced a competitor displacement event; Oracle's database franchise is the most durable technology asset in the Kastner archive","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-059","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","thematic-thread-decomposition","1993","thread-9-ellison-leadership-population","~25 observations 1993–2026 on Larry Ellison as strategic actor","high","ingest-extraction","archive-mining","","THREAD-9: Larry Ellison Leadership and Competitive Style. Ellison is the archive's most-quoted executive after Lou Gerstner; his competitive posture defined Oracle's market behavior for four decades","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-060","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","expert-opinion","2002","ellison-kinder-gentler-pivot","Larry Ellison adopted publicly softer posture toward Oracle Applications customers at AppsWorld 2002","high","ingest-extraction","archive-mining","2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","Katherine Jones Aberdeen 2002 (11 obs): 'A Kinder"," Gentler Larry Ellison' — Oracle acknowledged EBS 11i upgrade pain; Ellison personally engaged with user community; significant departure from 1990s combative style"
"2026-kastner-oracle-longitudinal-OBS-061","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","strategy-classification","1996","ellison-pc-is-dead-prediction","Larry Ellison predicted in 1995 that the PC was dead and would be replaced by the Network Computer within five years","high","ingest-extraction","archive-mining","aberdeen-1996-oracle-network-computing-architecture","Ellison's PC-death prediction (1995–1996) was the most visible technology prediction refuted in the Oracle archive; PCs survived; Ellison's NC concept partly vindicated by iPad/Chromebook 15+ years later","kastner-longitudinal"
"2026-kastner-oracle-longitudinal-OBS-062","2026-kastner-oracle-longitudinal","larry-ellison","larry-ellison","actual-outcome","2000","ellison-pc-death-outcome","PC market continued to grow through 2010; NC devices failed commercially; Ellison prediction refuted on timeline and mechanism","verified","web-source","wiki-driven-replication","","PC shipments grew from ~80M/year (1996) to ~350M/year (2010); NC device market never materialized; prediction refuted; conceptual successor (tablet/cloud) arrived 15 years late","kastner-longitudinal"
