"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"linux","Linux","platform","Open Source","1990s-present","growing","{'lifecycle_current': 'active', 'notes': 'Linux kernel and operating system actively developed. Linux 6.x kernel series current. Dominant OS for servers, cloud, embedded, and supercomputing.', 'source': 'https://www.kernel.org/'}","intelitaniummfewp1[1]-773ea2","24% of mainframe users running Linux on mainframes per survey; also supported on HP Itanium platforms; seen as less manageable/performant on mainframe"
"red-hat-linux","Red Hat Linux","platform","Red Hat","1994-present","growing","{'lifecycle_current': 'active', 'notes': 'Red Hat Enterprise Linux (RHEL) is actively developed and supported. RHEL 9 is current; RHEL 10 in development. Red Hat (IBM subsidiary) remains dominant in enterprise Linux.', 'source': 'https://access.redhat.com/support/policy/updates/errata'}","intelitaniummfewp1[1]-773ea2","Specific Linux distro supported on Dell Itanium PowerEdge 3250"
"hp-integrity","HP Integrity Servers","hardware","Hewlett-Packard","2003-present","growing","{'lifecycle_current': 'end-of-life', 'notes': 'HP Integrity servers (Itanium-based) reached end of support December 31, 2025. HP-UX on HP 9000 EOL was March 2021. Platform is fully end-of-life.', 'source': 'https://www.stromasys.com/resources/hp-ux-end-of-support/'}","intelitaniummfewp1[1]-773ea2","HP Itanium-based server line; rx1600, rx2600 (up to 2P), rx4640/rx5670 (4P), rx7620 (8P), rx8620 (16P), Superdome (64P), xc6000 cluster (256x rx2600)"
"dell-poweredge-3250","Dell PowerEdge 3250","hardware","Dell","2003","current","{'lifecycle_current': 'discontinued', 'notes': ""Dell PowerEdge 3250 is a circa-2002 server model, long discontinued. Dell's current PowerEdge generation (16th gen) completely supersedes it."", 'source': 'General Dell product lifecycle'}","intelitaniummfewp1[1]-773ea2","Dell dual-processor Itanium-based server; supports Windows and Red Hat Linux"
"unisys-es7000","Unisys ES7000 (Itanium)","hardware","Unisys","2003","current","{'lifecycle_current': 'discontinued', 'notes': 'Unisys ES7000 was a 32-way Intel Xeon-based server. Business Information Server software for ES7000 was discontinued (UnixWare edition discontinued Nov 30, 2005). The hardware is no longer sold or supported. Compaq dropped the ES7000 in 2001.', 'source': 'https://public.support.unisys.com/mapper/docs/discontinuance/78321270-011.pdf'}","intelitaniummfewp1[1]-773ea2","ES7000 Aries 410 (8P), 420 (16P), 430 (32P), 560 (64P); Wintel architecture mainframe-class server; also sold through Dell"
"unisys-clearpath","Unisys ClearPath","hardware","Unisys","1990s-present","mature","{'lifecycle_current': 'active', 'notes': 'Unisys ClearPath Forward (MCP and OS 2200 platforms) is actively marketed and supported. Q4 2024 major release delivered. Clients making long-term commitments. Roadmap updated through 2024.', 'source': 'https://www.investing.com/news/transcripts/earnings-call-transcript-unisys-q4-2024-sees-eps-beat-revenue-dip-93CH-3877606'}","intelitaniummfewp1[1]-773ea2","Unisys Unix mainframe alternative; separate from ES7000 Intel line"
"sap-r2","SAP R/2","application","SAP","1970s-2004","declining","{'lifecycle_current': 'discontinued', 'notes': 'SAP R/2 (mainframe-based predecessor to R/3) was discontinued decades ago. SAP R/3 evolved to SAP ECC/S/4HANA. SAP R/2 has no active support.', 'source': 'General SAP product history'}","intelitaniummfewp1[1]-773ea2","SAP ERP version for mainframe; SAP steadily migrating customers away from R/2 to R/3"
"tpc-c-benchmark","TPC-C Benchmark","benchmark","Transaction Processing Council","1992-present","current","{'lifecycle_current': 'active', 'notes': 'TPC-C remains an active benchmark used to measure OLTP performance. Widely used by database vendors (DoltHub 2024 update, YugabyteDB active use).', 'source': 'https://www.tpc.org/information/benchmarks5.asp'}","intelitaniummfewp1[1]-773ea2","Industry benchmark; Itanium demonstrated industry-leading performance in TPC-C in 2003"
"tpc-h-benchmark","TPC-H Benchmark","benchmark","Transaction Processing Council","1999-present","current","{'lifecycle_current': 'active', 'notes': 'TPC-H (decision support benchmark) remains active and widely used for analytical query performance measurement.', 'source': 'https://www.tpc.org/information/benchmarks5.asp'}","intelitaniummfewp1[1]-773ea2","Decision support benchmark; Itanium industry-leading in 2003"
"linpack-benchmark","Linpack Benchmark","benchmark","Netlib","1979-present","current","{'lifecycle_current': 'active', 'notes': ""Linpack (HPL - High Performance Linpack) is the standard benchmark used by the TOP500 supercomputer list. Actively used to rank the world's fastest computers."", 'source': 'https://documentation.sigma2.no/jobs/arm-perf/linpack.html'}","intelitaniummfewp1[1]-773ea2","Linear algebra benchmark; Itanium demonstrated industry-leading in 2003"
"netbench","NetBench 7.01 File Serving Benchmark","benchmark","Ziff Davis","1990s-2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'NetBench was a file serving benchmark from Ziff Davis; the benchmark program has been discontinued and is no longer actively maintained or used for current systems.', 'source': 'General benchmark history'}","intelitaniummfewp1[1]-773ea2","File serving benchmark used by Microsoft to compare Linux-on-mainframe vs. Wintel; single Linux image had 20% less throughput"
"webbench","WebBench 4.1 Web Serving Benchmark","benchmark","Ziff Davis","1990s-2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'WebBench 4.1 was a Ziff Davis/Intel web serving benchmark from the late 1990s/early 2000s; discontinued and superseded by SPECweb and other modern benchmarks.', 'source': 'General benchmark history'}","intelitaniummfewp1[1]-773ea2","Web serving benchmark used by Microsoft; Wintel at least 50% better than Linux-on-mainframe"
"ia32-execution-layer","IA-32 Execution Layer (for Itanium)","platform","Intel","2001-2017","current","{'lifecycle_current': 'discontinued', 'notes': 'The IA-32 Execution Layer was a software layer for running 32-bit code on Itanium. Intel removed hardware x86 support from Itanium 2 (Montecito) in 2006. Itanium itself discontinued 2021.', 'source': 'https://www.channelinsider.com/tech-companies/intel-drops-hardware-based-32-bit-capabilties-in-itanium/'}","intelitaniummfewp1[1]-773ea2","32-bit Windows application emulation on Itanium; delivers 50-70% of native Itanium application performance"
"microsoft-sql-server","Microsoft SQL Server","application","Microsoft","1989-present","growing","{'lifecycle_current': 'active', 'notes': 'Microsoft SQL Server is actively developed and supported. SQL Server 2022 is the current major release. Mainstream support continues through 2028.', 'source': 'https://learn.microsoft.com/en-us/sql/sql-server/end-of-support/sql-server-end-of-life-overview'}","intelitaniummfewp1[1]-773ea2","Used for ported COBOL applications migrated from mainframe DB2; cited as hard port from CICS/DB2 in some cases"
"websphere","IBM WebSphere","platform","IBM","1998-present","growing","{'lifecycle_current': 'legacy-supported', 'notes': 'IBM WebSphere Application Server Traditional (tWAS) v8.5.5 and v9.0 remain supported through 2030 (no v10 planned). IBM pushing migration to WebSphere Liberty. Actively receiving fix packs but not new features.', 'source': 'https://www.ibm.com/support/pages/recommended-updates-websphere-application-server'}","intelitaniummfewp1[1]-773ea2","Java middleware workload type cited: 48% of survey respondents see WebSphere workloads as suited for Itanium"
"autonomic-computing","IBM Autonomic Computing","framework","IBM","2001-present","emerging","{'lifecycle_current': 'evolved', 'notes': 'IBM Autonomic Computing (self-managing IT concept) evolved into modern AIOps, self-healing infrastructure, and AI-driven operations. The original IBM initiative/brand has been subsumed into AI/ML-driven IT management.', 'source': 'https://www.ibm.com/docs/en/db2/11.5.x?topic=servers-autonomic-computing-overview'}","intelitaniummfewp1[1]-773ea2","IBM mainframe initiative automating/hastening application monitoring and repair to compete with Itanium manageability advantages"
"capacity-on-demand","IBM Capacity on Demand (CoD)","platform","IBM","2002-present","growing","{'lifecycle_current': 'active', 'notes': 'IBM Capacity on Demand (CoD) for mainframes remains an active feature of IBM Z systems, allowing dynamic CPU/memory activation.', 'source': 'https://www.ibm.com/docs/en/zos'}","intelitaniummfewp1[1]-773ea2","IBM mainframe pricing flexibility initiative allowing customers to lease temporary capacity; defensive response to Itanium TCO challenge"
"madison-itanium","Intel Madison (Itanium 2 chip)","hardware","Intel","2003-2004","current","{'lifecycle_current': 'discontinued', 'notes': 'Intel Madison was the Itanium 2 chip codename (2003). Itanium is fully discontinued with final shipments in July 2021.', 'source': 'https://www.theregister.com/2019/02/01/intel_kills_itanium_again/'}","intelitaniummfewp1[1]-773ea2","Multiprocessor-capable Madison Itanium chip; planned at 1.5+ GHz; next generation at time of study"
