"id","field","kept_value","all_values","study_count"
"ENT-S1-003","years_active","1994-2020s","1988–2005 || 1994-2020s","2"
"ENT-S1-003","notes","Acquired Lucent's CT division in 1998. Acquired by EAS Group in 2005; merged into Cantata Technology. Cantata acquired by Dialogic Group in 2007.","3270/5250 terminal emulation; still sold but niche legacy product || Acquired Lucent's CT division in 1998. Acquired by EAS Group in 2005; merged into Cantata Technology. Cantata acquired by Dialogic Group in 2007.","2"
"ENT-S1-004","entity_name","Natural MicroSystems (NMS)","Natural MicroSystems (NMS) || Novell NetWare for SAA","2"
"ENT-S1-004","entity_type","product","Vendor || product","2"
"ENT-S1-004","sector","Computer Telephony","Computer Telephony || technology","2"
"ENT-S1-004","status","discontinued","Acquired || discontinued","2"
"ENT-S1-004","years_active","1986–2000s","1986–2000s || 1990-2004","2"
"ENT-S1-004","notes","CT hardware and software vendor. CT Access product competed with CT Media. Eventually absorbed into Comverse Technology.","CT hardware and software vendor. CT Access product competed with CT Media. Eventually absorbed into Comverse Technology. || Novell discontinued NetWare and associated SAA products in mid-2000s","2"
"ENT-S1-005","entity_type","analyst-firm","Vendor || analyst-firm","2"
"ENT-S1-005","sector","PBX / Computer Telephony","PBX / Computer Telephony || market-research","2"
"ENT-S1-005","status","Active (multiple ownership changes)","Active (multiple ownership changes) || absorbed","2"
"ENT-S1-005","successor","Mitel (Aastra 2007; Francisco Partners 2014; Enghouse 2022)","Aberdeen (Spiceworks Ziff Davis) || Mitel (Aastra 2007; Francisco Partners 2014; Enghouse 2022)","2"
"ENT-S1-005","years_active","1972–present","1972–present || 1988-2014","2"
"ENT-S1-005","notes","MediaPath was Mitel's server-based PBX product. Company remained independent through multiple acquisitions; Enghouse Systems acquired Mitel in 2022.","Acquired by Harte-Hanks in 2001; brand continues under new ownership || MediaPath was Mitel's server-based PBX product. Company remained independent through multiple acquisitions; Enghouse Systems acquired Mitel in 2022.","2"
"ENT-S2-001","entity_name","Digital Equipment Corporation (DEC)","Digital Equipment Corporation (DEC) || IBM Corporation","2"
"ENT-S2-001","entity_type","Vendor","Vendor || vendor","2"
"ENT-S2-001","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S2-001","status","Acquired","Acquired || active","2"
"ENT-S2-001","years_active","1911-present","1911-present || 1957–1998","2"
"ENT-S2-001","notes","Acquired by Compaq for $9.6B in June 1998 (then-largest tech acquisition). Compaq acquired by HP in 2002. Alpha processor IP sold to Intel in 2001.","Acquired by Compaq for $9.6B in June 1998 (then-largest tech acquisition). Compaq acquired by HP in 2002. Alpha processor IP sold to Intel in 2001. || Subject vendor; IBM Global Healthcare Industry group with 200+ dedicated NA staff in 1997","2"
"ENT-S2-002","entity_name","IBM Global Healthcare Industry Group","IBM Global Healthcare Industry Group || Network Computer Inc. (NCI)","2"
"ENT-S2-002","entity_type","business-unit","Vendor || business-unit","2"
"ENT-S2-002","sector","Network Computing Software","Network Computing Software || technology","2"
"ENT-S2-002","status","Defunct","Defunct || evolved","2"
"ENT-S2-002","successor","IBM Watson Health (2015-2022); IBM Healthcare & Life Sciences","IBM Watson Health (2015-2022); IBM Healthcare & Life Sciences || Oracle (parent; NCI shut down 1999)","2"
"ENT-S2-002","years_active","1993-present","1993-present || 1996–1999","2"
"ENT-S2-002","notes","Oracle subsidiary that developed NC software suite. Oracle spent ~$175M on NCI before shutting it down in 1999 and renaming the assets for interactive TV. Foundational to later cloud computing concepts.","One of 11 global industry groups created under Gerstner; evolved into Watson Health then sold to Francisco Partners 2022 || Oracle subsidiary that developed NC software suite. Oracle spent ~$175M on NCI before shutting it down in 1999 and renaming the assets for interactive TV. Foundational to later cloud computing concepts.","2"
"ENT-S2-003","entity_type","business-unit","Vendor || business-unit","2"
"ENT-S2-003","sector","Enterprise Software","Enterprise Software || technology","2"
"ENT-S2-003","status","Active (public)","Active (public) || evolved","2"
"ENT-S2-003","successor","IBM Consulting (spun out 2021 as Kyndryl for managed infrastructure)","IBM Consulting (spun out 2021 as Kyndryl for managed infrastructure) || N/A (continues)","2"
"ENT-S2-003","years_active","1977–present","1977–present || 1991-present","2"
"ENT-S2-003","notes","Parent of NCI. Oracle remains major enterprise software company; NCI strategy failed but Oracle pivoted successfully to database, cloud (Oracle Cloud).","Fastest-growing IBM division in 1996 at $15.9B revenue (+24.8%); infrastructure services spun as Kyndryl 2021 || Parent of NCI. Oracle remains major enterprise software company; NCI strategy failed but Oracle pivoted successfully to database, cloud (Oracle Cloud).","2"
"ENT-S2-004","entity_name","Advanced RISC Machines (ARM Holdings)","Advanced RISC Machines (ARM Holdings) || Arkansas Blue Cross Blue Shield","2"
"ENT-S2-004","entity_type","Semiconductor IP","Semiconductor IP || healthcare-org","2"
"ENT-S2-004","sector","Semiconductors","Semiconductors || healthcare","2"
"ENT-S2-004","status","Active (public, SoftBank/Nasdaq)","Active (public, SoftBank/Nasdaq) || active","2"
"ENT-S2-004","years_active","1948-present","1948-present || 1990–present","2"
"ENT-S2-004","notes","Licensor of ARM architecture used in DEC's StrongARM. ARM Holdings IPO'd in 2023; ARM architecture now dominates mobile and embedded computing.","IBM customer case: creating comprehensive health network linking ~450 physicians || Licensor of ARM architecture used in DEC's StrongARM. ARM Holdings IPO'd in 2023; ARM architecture now dominates mobile and embedded computing.","2"
"ENT-S2-005","entity_name","Kaiser Permanente of Northern California","Intel Corporation || Kaiser Permanente of Northern California","2"
"ENT-S2-005","entity_type","healthcare-org","Semiconductor || healthcare-org","2"
"ENT-S2-005","sector","Computing Hardware","Computing Hardware || healthcare","2"
"ENT-S2-005","status","Active (public)","Active (public) || active","2"
"ENT-S2-005","years_active","1945-present","1945-present || 1968–present","2"
"ENT-S2-005","notes","Acquired DEC's semiconductor division (including StrongARM) in 1997 as patent lawsuit settlement. NetPC was Intel/Microsoft response to NC threat. Intel later marketed XScale (StrongARM successor).","Acquired DEC's semiconductor division (including StrongARM) in 1997 as patent lawsuit settlement. NetPC was Intel/Microsoft response to NC threat. Intel later marketed XScale (StrongARM successor). || IBM customer case: Notes-based case management system for high-risk patient data","2"
"ENT-S2-006","entity_name","Allina Health Systems","Allina Health Systems || Microsoft Corporation","2"
"ENT-S2-006","entity_type","healthcare-org","Vendor || healthcare-org","2"
"ENT-S2-006","sector","healthcare","Software || healthcare","2"
"ENT-S2-006","status","Active (public)","Active (public) || active","2"
"ENT-S2-006","successor","Allina Health","Allina Health || N/A","2"
"ENT-S2-006","years_active","1975–present","1975–present || 1994-present","2"
"ENT-S2-006","notes","Co-developer of NetPC with Intel. Microsoft won the 1997-era desktop battle against NC. Later developed Azure cloud, effectively realizing the NC vision.","Co-developer of NetPC with Intel. Microsoft won the 1997-era desktop battle against NC. Later developed Azure cloud, effectively realizing the NC vision. || IBM customer case: HealthVillage internet-based member services portal","2"
"ENT-S2-007","entity_name","APM Management Resources (CSC division)","APM Management Resources (CSC division) || IBM Corporation","2"
"ENT-S2-007","entity_type","Vendor","Vendor || vendor","2"
"ENT-S2-007","sector","Computing Hardware/Services","Computing Hardware/Services || consulting","2"
"ENT-S2-007","status","Active (public)","Active (public) || absorbed","2"
"ENT-S2-007","successor","Computer Sciences Corporation / DXC Technology","Computer Sciences Corporation / DXC Technology || N/A","2"
"ENT-S2-007","years_active","1911–present","1911–present || 1990s-2000s","2"
"ENT-S2-007","notes","Early NC market participant; launched IBM Network Station. IBM's NC efforts were modest commercially.","Division of Computer Sciences Corporation; partner for IBM Executive Suite consulting || Early NC market participant; launched IBM Network Station. IBM's NC efforts were modest commercially.","2"
"ENT-S2-008","entity_name","HIMSS (Healthcare Information and Management Systems Society)","HIMSS (Healthcare Information and Management Systems Society) || Sun Microsystems","2"
"ENT-S2-008","entity_type","industry-association","Vendor || industry-association","2"
"ENT-S2-008","sector","Computing Hardware/Software","Computing Hardware/Software || healthcare","2"
"ENT-S2-008","status","Acquired","Acquired || active","2"
"ENT-S2-008","years_active","1961-present","1961-present || 1982–2010","2"
"ENT-S2-008","notes","NC market participant with JavaStation. Acquired by Oracle in 2010. Java, Sun's language, was central to NC concept.","Annual exhibition cited as indicator of ISV market growth in healthcare IT || NC market participant with JavaStation. Acquired by Oracle in 2010. Java, Sun's language, was central to NC concept.","2"
"ENT-S3-001","entity_name","IBM Corporation — Software Solutions Division","Digital Equipment Corporation (DEC) || IBM Corporation — Software Solutions Division","2"
"ENT-S3-001","entity_type","Vendor","Vendor || vendor","2"
"ENT-S3-001","sector","Computing Hardware / IT Services","Computing Hardware / IT Services || technology","2"
"ENT-S3-001","status","Acquired","Acquired || active","2"
"ENT-S3-001","successor","Compaq (1998); HP (2002)","Compaq (1998); HP (2002) || IBM Corporation","2"
"ENT-S3-001","years_active","1991-present","1957–1998 || 1991-present","2"
"ENT-S3-001","notes","Acquired by Compaq for $9.6B in June 1998. Compaq acquired by HP in 2002. Alpha processor IP sold to Intel in 2001; support ended 2007.","Acquired by Compaq for $9.6B in June 1998. Compaq acquired by HP in 2002. Alpha processor IP sold to Intel in 2001; support ended 2007. || Subject entity; IBM software division responsible for NT product portfolio","2"
"ENT-S3-002","entity_name","CGI (Computer Generation Incorporated)","CGI (Computer Generation Incorporated) || Microsoft Corporation","2"
"ENT-S3-002","entity_type","ISV Partner","ISV Partner || vendor","2"
"ENT-S3-002","sector","Telecom Billing Software","Telecom Billing Software || technology","2"
"ENT-S3-002","status","Active (as part of CGI Group)","Active (as part of CGI Group) || active","2"
"ENT-S3-002","years_active","1968–present","1968–present || 1975-present","2"
"ENT-S3-002","notes","Founded 1968; pre-billing communication systems for telcos. Note: this CGI is distinct from CGI Group Inc. (Canadian IT services firm). The telecom CGI was absorbed into the telco BSS vendor market. CGI Group Inc. remains active.","Founded 1968; pre-billing communication systems for telcos. Note: this CGI is distinct from CGI Group Inc. (Canadian IT services firm). The telecom CGI was absorbed into the telco BSS vendor market. CGI Group Inc. remains active. || Primary platform/competitive context; NT OS and competing enterprise products","2"
"ENT-S3-003","entity_name","CMG (Computer Management Group)","CMG (Computer Management Group) || Compaq Computer Corporation","2"
"ENT-S3-003","entity_type","ISV Partner","ISV Partner || vendor","2"
"ENT-S3-003","sector","IT Services / SMS Messaging","IT Services / SMS Messaging || technology","2"
"ENT-S3-003","status","acquired","Merged || acquired","2"
"ENT-S3-003","successor","LogicaCMG (2002); later Logica","Hewlett-Packard (HP) || LogicaCMG (2002); later Logica","2"
"ENT-S3-003","years_active","1964–2002","1964–2002 || 1982-2002","2"
"ENT-S3-003","notes","UK-based IT services firm with SMS messaging capability. European SMS market leader. Merged with Logica in 2002 to form LogicaCMG. Logica was acquired by CGI Group Inc. in 2012.","1997 NT market leader ~35% share; acquired by HP in 2002 after declining fortunes || UK-based IT services firm with SMS messaging capability. European SMS market leader. Merged with Logica in 2002 to form LogicaCMG. Logica was acquired by CGI Group Inc. in 2012.","2"
"ENT-S3-004","entity_type","ISV Partner","ISV Partner || vendor","2"
"ENT-S3-004","sector","Computer Telephony","Computer Telephony || technology","2"
"ENT-S3-004","status","Acquired","Acquired || split","2"
"ENT-S3-004","successor","Intel (1999); Dialogic Group (2013)","HP Inc. + HPE (split 2015) || Intel (1999); Dialogic Group (2013)","2"
"ENT-S3-004","years_active","1939-2015","1939-2015 || 1983–2013","2"
"ENT-S3-004","notes","DIGITAL/Dialogic partnership established 1994. Dialogic acquired by Intel for ~$780M in 1999. See Study 1 for full Dialogic history.","DIGITAL/Dialogic partnership established 1994. Dialogic acquired by Intel for ~$780M in 1999. See Study 1 for full Dialogic history. || ~16% NT server share; HP-UX Unix strategy; acquired Compaq 2002; split into HP Inc/HPE 2015","2"
"ENT-S3-005","entity_type","ISV Partner","ISV Partner || vendor","2"
"ENT-S3-005","sector","Telecom Billing / CC&B Software","Telecom Billing / CC&B Software || technology","2"
"ENT-S3-005","status","Acquired","Acquired || absorbed","2"
"ENT-S3-005","successor","HCL Technologies (Notes/Domino 2018)","HCL Technologies (Notes/Domino 2018) || Lucent Technologies (1999)","2"
"ENT-S3-005","years_active","1982-1995","1982-1995 || 1982–1999","2"
"ENT-S3-005","notes","Provider of Arbor/BP customer care and billing software. Completed Alpha port December 1996. Acquired by Lucent Technologies for $1.48B in 1999. Later Kenan assets acquired by Amdocs in 2015.","Acquired by IBM in 1995 for $3.5B; Notes/Domino sold to HCL Technologies 2018 || Provider of Arbor/BP customer care and billing software. Completed Alpha port December 1996. Acquired by Lucent Technologies for $1.48B in 1999. Later Kenan assets acquired by Amdocs in 2015.","2"
"ENT-S3-006","entity_name","Vienna Systems Corporation","Transarc Corporation || Vienna Systems Corporation","2"
"ENT-S3-006","entity_type","ISV Partner","ISV Partner || vendor","2"
"ENT-S3-006","sector","IP Telephony / Internet Fax","IP Telephony / Internet Fax || technology","2"
"ENT-S3-006","status","Acquired","Acquired || absorbed","2"
"ENT-S3-006","successor","IBM (Encina/AFS)","IBM (Encina/AFS) || Nokia (1998)","2"
"ENT-S3-006","years_active","1989-1994","1989-1994 || 1993–1998","2"
"ENT-S3-006","notes","Newbridge Networks affiliate; provided IP voice and IP fax gateway solutions. Acquired by Nokia for approximately $90M in December 1998. Enabled Nokia to enter the IP telephony/gateway market.","Acquired by IBM 1994; Encina transaction processing monitor integrated into IBM portfolio || Newbridge Networks affiliate; provided IP voice and IP fax gateway solutions. Acquired by Nokia for approximately $90M in December 1998. Enabled Nokia to enter the IP telephony/gateway market.","2"
"ENT-S3-007","entity_name","Newbridge Networks","Newbridge Networks || Tivoli Systems","2"
"ENT-S3-007","entity_type","Parent Company / Partner","Parent Company / Partner || vendor","2"
"ENT-S3-007","sector","Telecommunications Networking","Telecommunications Networking || technology","2"
"ENT-S3-007","status","Acquired","Acquired || absorbed","2"
"ENT-S3-007","successor","Alcatel (2000)","Alcatel (2000) || IBM Tivoli","2"
"ENT-S3-007","years_active","1986–2000","1986–2000 || 1989-1996","2"
"ENT-S3-007","notes","Vienna Systems was a Newbridge affiliate. Newbridge Networks acquired by Alcatel for $7.1B in 2000.","Acquired by IBM 1996 for $743M; TME systems management platform integrated into IBM || Vienna Systems was a Newbridge affiliate. Newbridge Networks acquired by Alcatel for $7.1B in 2000.","2"
"ENT-S3-008","entity_name","Dell Computer Corporation","Dell Computer Corporation || Nortel Networks","2"
"ENT-S3-008","entity_type","Telecom Client Reference","Telecom Client Reference || vendor","2"
"ENT-S3-008","sector","Telecommunications","Telecommunications || technology","2"
"ENT-S3-008","status","Defunct","Defunct || active","2"
"ENT-S3-008","successor","Bankrupt (2009); assets sold to various","Bankrupt (2009); assets sold to various || Dell Technologies","2"
"ENT-S3-008","years_active","1984-present","1895–2009 || 1984-present","2"
"ENT-S3-008","notes","DIGITAL customer reference cited in study. Nortel filed for bankruptcy in 2009; patent portfolio sold to Rockstar Consortium (Apple, Microsoft et al.) for $4.5B.","DIGITAL customer reference cited in study. Nortel filed for bankruptcy in 2009; patent portfolio sold to Rockstar Consortium (Apple, Microsoft et al.) for $4.5B. || Not mentioned in study but actual outcome: Dell surpassed Compaq as #1 PC maker by 1999","2"
"ENT-S3-009","entity_type","Telecom Client Reference","Telecom Client Reference || business-unit","2"
"ENT-S3-009","sector","Telecommunications Equipment","Telecommunications Equipment || technology","2"
"ENT-S3-009","status","evolved","Merged || evolved","2"
"ENT-S3-009","successor","Alcatel-Lucent (2006); Nokia (2016)","Alcatel-Lucent (2006); Nokia (2016) || IBM Consulting + Kyndryl","2"
"ENT-S3-009","years_active","1898–2006","1898–2006 || 1991-2021","2"
"ENT-S3-009","notes","DIGITAL customer reference. Merged with Lucent Technologies in 2006; Nokia acquired Alcatel-Lucent in 2016.","100,000+ professionals in 159 countries in 1997; infrastructure split as Kyndryl 2021 || DIGITAL customer reference. Merged with Lucent Technologies in 2006; Nokia acquired Alcatel-Lucent in 2016.","2"
"ENT-S4-001","entity_name","Digital Equipment Corporation (DEC)","Digital Equipment Corporation (DEC) || IBM Corporation","2"
"ENT-S4-001","entity_type","Vendor","Vendor || vendor","2"
"ENT-S4-001","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S4-001","status","Acquired","Acquired || active","2"
"ENT-S4-001","years_active","1911-present","1911-present || 1957–1998","2"
"ENT-S4-001","notes","Acquired by Compaq for $9.6B in June 1998. Alpha architecture discontinued 2001-2004. HPTC group dissolved.","Acquired by Compaq for $9.6B in June 1998. Alpha architecture discontinued 2001-2004. HPTC group dissolved. || Subject vendor; six product families in network computing architecture","2"
"ENT-S4-002","entity_name","IBM Network Computing Division","IBM Network Computing Division || Silicon Graphics Inc. (SGI)","2"
"ENT-S4-002","entity_type","business-unit","Vendor || business-unit","2"
"ENT-S4-002","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S4-002","status","Defunct (multiple bankruptcies)","Defunct (multiple bankruptcies) || evolved","2"
"ENT-S4-002","successor","Silicon Graphics Inc. (Rackable Systems acquisition 2009)","IBM Software Group || Silicon Graphics Inc. (Rackable Systems acquisition 2009)","2"
"ENT-S4-002","years_active","1995-2000s","1982–2009 || 1995-2000s","2"
"ENT-S4-002","notes","Major HPTC competitor. SGI filed Chapter 11 bankruptcy in 2006; re-emerged but filed Chapter 7 in 2009; assets acquired by Rackable Systems (renamed SGI). Later acquired by HPE in 2016.","Major HPTC competitor. SGI filed Chapter 11 bankruptcy in 2006; re-emerged but filed Chapter 7 in 2009; assets acquired by Rackable Systems (renamed SGI). Later acquired by HPE in 2016. || Umbrella brand for Energize Your Enterprise initiative; evolved into broader IBM Software Group","2"
"ENT-S4-003","entity_type","Vendor","Vendor || vendor","2"
"ENT-S4-003","sector","Computing Hardware/Services","Computing Hardware/Services || technology","2"
"ENT-S4-003","status","Active (public)","Active (public) || acquired","2"
"ENT-S4-003","successor","Oracle Corporation","Continues || Oracle Corporation","2"
"ENT-S4-003","years_active","1911–present","1911–present || 1982-2010","2"
"ENT-S4-003","notes","HPTC competitor cited; RS/6000 SP MPP architecture criticized by Aberdeen. IBM Power remained major HPC platform; IBM Summit (2018) became world's fastest supercomputer.","HPTC competitor cited; RS/6000 SP MPP architecture criticized by Aberdeen. IBM Power remained major HPC platform; IBM Summit (2018) became world's fastest supercomputer. || Java co-endorser alongside IBM; acquired by Oracle in 2010","2"
"ENT-S4-004","entity_name","Hewlett-Packard / Convex Computer","Hewlett-Packard / Convex Computer || Oracle Corporation","2"
"ENT-S4-004","entity_type","Vendor","Vendor || vendor","2"
"ENT-S4-004","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S4-004","status","Active (HP/HPE)","Active (HP/HPE) || active","2"
"ENT-S4-004","years_active","1939–present (HP); Convex: 1982–1995","1939–present (HP); Convex: 1982–1995 || 1977-present","2"
"ENT-S4-004","notes","HP acquired Convex Computer in 1995. Aberdeen noted HP not investing meaningfully in Convex HPTC. HP merged with Compaq 2002; HPE spun off 2015.","HP acquired Convex Computer in 1995. Aberdeen noted HP not investing meaningfully in Convex HPTC. HP merged with Compaq 2002; HPE spun off 2015. || Mentioned as Java endorser; major database competitor; acquired Sun 2010","2"
"ENT-S4-005","entity_type","Vendor","Vendor || vendor","2"
"ENT-S4-005","sector","Computing Hardware/Software","Computing Hardware/Software || technology","2"
"ENT-S4-005","status","Acquired","Acquired || acquired","2"
"ENT-S4-005","successor","Attachmate / Micro Focus / OpenText","Attachmate / Micro Focus / OpenText || Oracle (2010)","2"
"ENT-S4-005","years_active","1979-2011","1979-2011 || 1982–2010","2"
"ENT-S4-005","notes","New HPTC entrant via Floating Point Systems (Cray) and Thinking Machines acquisitions. Aberdeen questioned long-term HPTC commitment. Sun acquired by Oracle in 2010.","Java endorser mentioned in study; NetWare and directory services vendor; acquired by Attachmate 2011 || New HPTC entrant via Floating Point Systems (Cray) and Thinking Machines acquisitions. Aberdeen questioned long-term HPTC commitment. Sun acquired by Oracle in 2010.","2"
"ENT-S4-006","entity_name","Encore Computer Corporation","Encore Computer Corporation || IBM DB2 Universal Database","2"
"ENT-S4-006","entity_type","Technology Contributor","Technology Contributor || product","2"
"ENT-S4-006","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S4-006","status","Defunct","Defunct || active","2"
"ENT-S4-006","successor","Acquired by Digital; Memory Channel technology contributed","Acquired by Digital; Memory Channel technology contributed || IBM Db2","2"
"ENT-S4-006","years_active","1983-present","1983-present || 1983–1998","2"
"ENT-S4-006","notes","Contributed Memory Channel technology to Digital's TruCluster. Encore acquired by Digital; Memory Channel became a key DEC clustering differentiator.","Contributed Memory Channel technology to Digital's TruCluster. Encore acquired by Digital; Memory Channel became a key DEC clustering differentiator. || Core data management in IBM network computing stack; rebranded IBM Db2 in cloud era","2"
"ENT-S5-001","entity_name","Industri-Matematik International Corp.","Digital Equipment Corporation (DEC) || Industri-Matematik International Corp.","2"
"ENT-S5-001","entity_type","Vendor","Vendor || vendor","2"
"ENT-S5-001","sector","Computing Hardware","Computing Hardware || technology","2"
"ENT-S5-001","status","Acquired","Acquired || active","2"
"ENT-S5-001","successor","IMI Supply Chain Solutions (private; was Aptean AB 2012-2019)","Compaq (1998); HP (2002) || IMI Supply Chain Solutions (private; was Aptean AB 2012-2019)","2"
"ENT-S5-001","years_active","1967-present","1957–1998 || 1967-present","2"
"ENT-S5-001","notes","Founded 1966/67 in Stockholm; NASDAQ: IMIC; IPO Sept 1996 raising $33M; renamed Aptean AB ~2012; rebranded back to Industri-Matematik International AB 2019; acquired by Priveq Investment 2021","Acquired by Compaq for $9.6B in June 1998. NonStop VLDB product discontinued. || Founded 1966/67 in Stockholm; NASDAQ: IMIC; IPO Sept 1996 raising $33M; renamed Aptean AB ~2012; rebranded back to Industri-Matematik International AB 2019; acquired by Priveq Investment 2021","2"
"ENT-S5-002","entity_name","SCH Technologies","IMI Americas || SCH Technologies","2"
"ENT-S5-002","entity_type","Software Partner","Software Partner || subsidiary","2"
"ENT-S5-002","sector","Backup Software","Backup Software || technology","2"
"ENT-S5-002","status","absorbed","Unknown || absorbed","2"
"ENT-S5-002","successor","Industri-Matematik International AB","Industri-Matematik International AB || Possibly absorbed","2"
"ENT-S5-002","years_active","1990s-2000s","1990s || 1990s-2000s","2"
"ENT-S5-002","notes","Backup software partner tested with NonStop VLDB. Limited public information available.","560 White Plains Road, Tarrytown NY 10591; US sales/support subsidiary || Backup software partner tested with NonStop VLDB. Limited public information available.","2"
"ENT-S5-003","entity_name","Open Vision Technologies","Open Vision Technologies || Trifox Inc.","2"
"ENT-S5-003","entity_type","Software Partner","Software Partner || vendor","2"
"ENT-S5-003","sector","Backup Software","Backup Software || technology","2"
"ENT-S5-003","status","Acquired","Acquired || acquired","2"
"ENT-S5-003","years_active","1980s-1990s","1980s-1990s || 1992–1999","2"
"ENT-S5-003","notes","Backup software vendor; tested with NonStop VLDB. Acquired by Symantec in 1999; product became Symantec NetBackup.","Backup software vendor; tested with NonStop VLDB. Acquired by Symantec in 1999; product became Symantec NetBackup. || Provider of TRIMtools and VORTEX database access technology used in System ESS; acquired/absorbed in late 1990s","2"
"ENT-S5-004","entity_name","Spectralogic Corporation","Oracle Corporation || Spectralogic Corporation","2"
"ENT-S5-004","entity_type","Hardware Partner","Hardware Partner || vendor","2"
"ENT-S5-004","sector","Tape Library","Tape Library || technology","2"
