"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","collection","notes"
"tech-tpc","TPC Benchmark Standards","framework","Transaction Processing Performance Council","1988-present","emerging","active","volume-1-appendix-career-timeline","Kastner Memoir","TPC-A (1989), TPC-B (1990), TPC-C (1992), TPC-H, TPC-DS, TPC-E. Kastner was co-founder and early auditor."
"4gl","Fourth-Generation Languages (4GL)","language","various","1979-1981","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Emerging during Prime Computer peak period (1979-1981); key technology transition witnessed by Kastner."
"client-server","Client-Server Architecture","platform","various","1990-1997","growing","legacy-supported","volume-1-appendix-career-timeline","Kastner Memoir","Dominant computing paradigm during Aberdeen's partnership years 1990-1997."
"tech-rdbms","Relational Database Management System (RDBMS)","platform","various","1990-1997","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","RDBMS dominance was a defining technology trend of Aberdeen's partnership years."
"oltp","Online Transaction Processing (OLTP)","framework","various","1987-1992","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","Kastner predicted microprocessor OLTP dominance in 1987 Yankee Group paper; TPC benchmarks standardized OLTP measurement."
"snr-framework","SNR (Signal-to-Noise Ratio) Research Framework","framework","Aberdeen Group","1990-2006","growing","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Aberdeen proprietary research methodology developed by Kastner and partners."
"5-year-tco","TCO (Total Cost of Ownership) Framework","framework","Aberdeen Group","1990-2006","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","Aberdeen proprietary benchmark research methodology developed alongside SNR."
"cloud-computing","Cloud Computing","platform","various","2008-2015","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","Key technology transition Kastner witnessed during expert witness / Intel advisory period."
"saas","Software as a Service (SaaS)","platform","various","2004-2008","emerging","active","volume-1-appendix-career-timeline","Kastner Memoir","SaaS emergence was a defining transition of Kastner's Aberdeen final years (2004-2008)."
"ai-expert-systems","AI/ML and Generative AI","platform","various","2015-2026","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","AI/ML maturation and generative AI represent the final major technology transition in the timeline (2015-2026)."
"ibm-360","IBM System/360","platform","IBM","1969-1973","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner Memoir","Platform used at PHI service bureau for client work including Cumberland Farms and First Chicago DDA."
"e-commerce","E-Commerce Infrastructure","platform","various","1997-2001","growing","active","volume-1-appendix-career-timeline","Kastner Memoir","Internet boom and e-commerce infrastructure was the defining transition of Aberdeen's scaled years 1997-2001."
"ibm-360-65","IBM 360/65","platform","IBM","1965-1975","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Present at both MIT (dedicated development machine with graphics workstation and trackball) and Cornell (main production mainframe). FORTRAN airflow-analysis code written on this machine was still embedded in climate models as late as the 2020s."
"ibm-1401","IBM 1401","platform","IBM","1959-1971","mature","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Used at MIT as a reader-printer workhorse: ingested punch-card decks, wrote to magnetic tape at 800 bpi, and printed output from the mainframe. Described as 'the loading dock.'"
"ibm-7094","IBM 7094","platform","IBM","1962-1969","mature","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","MIT production mainframe in 1966-1967. Ran timesharing during daytime hours for dozens of academic users; batch mode off-peak. Timesharing techniques developed here fed directly into Multics."
"ibm-360","IBM OS/360","platform","IBM","1964-1970s","growing","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Cornell's Sysgen target was a modified version of IBM OS/360, enhanced with HASP. IBM provided OS source code to customers at this time—a practice abandoned in the 1980s."
"punch-card-tabulation","IBM Punch-Card Tabulating Equipment","platform","IBM","1890s-1970s","declining","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Electromechanical sorters, collators, and accumulators programmed via plugboard wiring. Used at Cornell's Hotel Ezra Cornell weekend. Could not perform conditional logic flexibly enough to automate hotel accounting."
"fortran","FORTRAN","language","IBM / open standard","1957-","growing","active","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Kastner taught himself FORTRAN at MIT on overnight shifts. Used for CHASE simulation at Cornell; floating-point arithmetic caused accounting discrepancies that Kastner fixed."
"ibm-assembler","IBM Assembler","language","IBM","1960s-","growing","legacy-supported","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Kastner taught himself IBM assembler on the company's idle overnight CPU cycles at MIT in 1966-1967."
"pl-1","PL/1 (Programming Language One)","language","IBM","1964-1990s","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Designed to merge FORTRAN's mathematical capability with COBOL's data handling. Cornell sought experienced PL/1 programmers in 1967 — virtually none existed. Kastner compared the ask to seeking experienced ChatGPT programmers in 2020."
"cobol","COBOL","language","open standard","1959-","growing","legacy-supported","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Referenced as the business data-processing language whose structured data and file-management conventions PL/1 attempted to absorb alongside FORTRAN's scientific capabilities."
"multics","Multics Operating System","platform","MIT / GE / Honeywell","1969-2000","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Produced by Project MAC at MIT; its foundations came from timesharing work on the IBM 7094. Referenced as resurfacing in Kastner's career at Stratus Computer."
"lisp","LISP (List Processing language)","language","MIT","1958-","emerging","active","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Used at MIT's Project MAC area to manipulate symbolic representations of knowledge for AI research. Kastner observed LISP in use circa 1966-1967."
"eliza","ELIZA","application","MIT","1964-1967","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Text-based conversational program at MIT that 'unnerved people who didn't know it had no inner life.' Kastner observed it circa 1966-1967 and concluded AI was just code competing for machine time."
"spacewar","Spacewar! Video Game","application","MIT","1962-","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Appeared permanently installed on the IBM 360/65 graphics workstation at MIT. Kastner could play it on a '$5 million mainframe' during overnight shifts circa 1966-1967."
"dec-pdp-8","DEC PDP/8","platform","Digital Equipment Corporation","1965-1990","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Early PDP/8 minicomputers were appearing in Cambridge labs in 1966-1967. Kastner identified them as the beginning of the end of the centralized glass-house computing era."
"hasp","HASP (Houston Automated Spooling Processor)","application","IBM / NASA","1967-1975","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Added to Cornell's OS/360 to manage the queue of jobs waiting to run. Used during the September 23, 1967 Sysgen with Arlene Larsen."
"batch-computing","Batch Processing","platform","various","1950s-1980s","mature","legacy-supported","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","The dominant computing model of the 1960s: submit a job and wait. Defined the economics of computing for a decade. The MIT three-machine pipeline (cards-in, tape to mainframe, results out) was Kastner's hands-on introduction."
"ibm-timesharing","Timesharing (IBM 7094 / Project MAC)","platform","MIT / IBM","1961-1975","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Dozens of academic users typed at alphanumeric terminals simultaneously on the MIT IBM 7094. Kastner characterized it as 'brilliant but fragile.'"
"magnetic-tape-storage","Magnetic Tape (800 bpi)","platform","IBM","1950s-1980s","mature","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","IBM 1401 at MIT wrote punch-card batches to magnetic tape at 800 bits per inch for transfer to the mainframe."
"ibm-2311-disk","IBM 2311 Disk Pack","platform","IBM","1964-1975","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","13 megabytes of storage, described as 'an enormous amount of storage by the standards of the day.' Used during Cornell's Sysgen on September 23, 1967."
"remote-job-entry","Remote Job Entry (56 kbps telephone line)","protocol","IBM / Cornell","1967-1975","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Cornell's innovative workaround after IBM couldn't deliver the 360/67: RJE over a 56-kilobit dedicated telephone line from Upson Hall to Langmuir Labs. Kastner called this effectively Cornell's 'cloud' — a concept without a name for another forty years."
"cdc-1604","CDC 1604","platform","Control Data Corporation","1960-1968","mature","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Installed at Upson Hall, Cornell; read student card decks and transmitted them to the IBM 360/65 at Langmuir Labs via the 56 kbps telephone line."
"adding-machine","Adding Machine / Mechanical Calculator","platform","various","1900s-1970s","mature","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Kastner's primary tool in the Cape Cod restaurant bookkeeping department as a child. Cornell's Statistics 101 lab previously required hand-cranked mechanical calculators before Kastner automated it."
"ibm-360-67","IBM 360/67","platform","IBM","1966-1972","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","Timesharing-capable variant that Cornell originally planned to install to match MIT's capability. IBM could not deliver it, forcing Cornell's RJE workaround."
"chase-simulation","CHASE / CRASE / CHESS (Cornell Simulations)","application","Cornell University / Robert M. Chase","1967-2000s","emerging","legacy-end-of-life","volume-1-ch01-waiting-for-automation-1960-1969","Kastner Memoir","CHASE = Cornell Hotel School Administration Simulation Exercise; CRASE = Cornell Restaurant Administration Simulation Exercise; CHESS = Cornell Educational Strategic Simulation. Kastner enhanced and debugged CHASE in 1967-68, fixing FORTRAN floating-point arithmetic errors. Adopted by Intercontinental, Marriott, Howard Johnson's, and KFC."
"ibm-360-65","IBM System/360 Model 65","platform","IBM","1965-1975","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Main computing platform at PHI service bureau; CPU time cost $360/hour in 1969."
"ibm-360","IBM System/360","platform","IBM","1964-1978","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Family platform for PHI service bureau operations; reference card was primary documentation resource."
"cobol","COBOL","language","CODASYL/industry-standard","1960-","growing","legacy-supported","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Primary language used at PHI; Siegel's One-Instruction Switch optimization was demonstrable in COBOL; Cosmos generated millions of lines of architecturally sound COBOL."
"cosmos-application-package","Cosmos (Customer Accounting System / CAS)","application","PHI (Philip Hankins Inc.)","1969-1972","growing","dissolved","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Code-generation system at PHI that produced millions of lines of COBOL per specification. Originally called Customer Accounting System (CAS). Named after Creedence Clearwater Revival album 'Cosmos Factory'. Enabled a team of four to build an entire bank checking account system in one year."
"wang-vs","Wang VS Operating System","platform","Wang Laboratories","1977-1992","emerging","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Operating system later architected by Robert A. Siegel after he left PHI."
"y2k-bug","Y2K / Year 2000 Two-Digit Year Bug","application","industry-wide","1960-2000","emerging","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Two-digit year field vulnerability; Kastner fixed an early instance in Marine Midland Bank's bond portfolio system in July 1969, 30 years before the global Y2K crisis."
"jcl","Job Control Language (JCL)","language","IBM","1964-","growing","legacy-supported","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Command syntax for IBM OS to control program execution: tape mounts, disk pack allocation, memory reservation. Notoriously cryptic; a single misplaced comma could fail a job."
"punch-cards","Punch Cards / Card Decks","platform","IBM","1950-1980","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Primary input mechanism at PHI; programmers wrote code on coding forms, had it keypunched, submitted deck to operations queue, waited hours for printout."
"core-memory","Core Memory","platform","IBM","1955-1975","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Primary memory technology of the IBM 360 era; core dumps captured entire contents of core memory upon program failure."
"core-dump","Core Dump / Hexadecimal Core Dump","application","IBM","1960-1980","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Debugging technique: on catastrophic failure, OS printed entire core memory contents as hex. Could span hundreds of pages. Kastner learned to read these to find program errors."
"ibm-360-reference-card","IBM System/360 Reference Card","application","IBM","1964-1978","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Dense fold-out cheat sheet roughly placemat-sized; primary documentation resource for programmers at PHI in absence of online docs."
"service-bureau-computing","Service Bureau Computing","platform","industry-wide","1960-1980","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Business model where companies purchased CPU time on shared mainframes; PHI charged $360/hour for IBM 360/65 time in 1969."
"timesharing","Timesharing Systems","platform","various","1965-1985","emerging","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Interactive terminal-based computing available at universities and research labs in 1969 but not typical at commercial service bureaus like PHI."
"bond-portfolio-system","Bond Portfolio System (Marine Midland)","application","PHI (Philip Hankins Inc.)","1969","mature","dissolved","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Banking application upgraded by Kastner in July 1969; contained two-digit year field vulnerability for bonds maturing in year 2000+."
"retail-accounting-system","Retail Accounting System (Cumberland Farms)","application","PHI (Philip Hankins Inc.)","1969","mature","dissolved","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Accounting system designed by Kastner for Cumberland Farms; required handling mechanical pump counter rollover at 9,999 gallons."
"code-generation","Code Generation / Automated Code Generation","framework","PHI (Philip Hankins Inc.)","1969-","emerging","active","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Technique exemplified by Cosmos: templates and rules produce architecturally consistent code at scale, sidestepping Brooks's Law coordination overhead."
"apollo-navigation-software","Apollo Lunar Navigation Software","application","NASA","1961-1972","mature","legacy-end-of-life","volume-1-ch02-physics-of-the-machine-1969-1972","Kastner Memoir","Navigation code for the Apollo lunar program; PHI founders Philip Hankins and David Moros had written this code before founding PHI."
"cobol","COBOL","language","industry-standard","1972-1979","mature","legacy-supported","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Chase Manhattan migration produced 25 million lines of bug-free COBOL code in one year."
"univac-96-col-card","Univac 96-Column Punch Card","platform","Univac","1950s-1970s","declining","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","96-column format used by Chase Manhattan; incompatible with IBM 80-column cards; required field explosion during migration."
"96-column-card","96-Column Card Format","platform","Univac","1950s-1970s","declining","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Alias for Univac 96-column punch card; 16 extra columns vs. IBM 80-column caused field boundary explosion in Chase migration."
"ibm-4300","IBM 4300 Mainframe","platform","IBM","1970s-1980s","mature","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Source platform for United Shoe Machinery migration; violated architectural physics when ported to Data General Eclipse."
"data-general-eclipse","Data General Eclipse Minicomputer","platform","Data General","1970s-1980s","growing","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Target platform for United Shoe Machinery migration; architectural mismatch with IBM 4300 caused thrashing at CPU, application, disk, and management layers."
"power-line-carrier","Power-Line Carrier Communication","protocol","industry-standard","1970s","emerging","active","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Proposed for Wisconsin Electric remote meter reading; signals superimposed on 60-Hz power current at 5 baud; no new wiring required."
"amr-automatic-meter-reading","Automatic Meter Reading (AMR)","application","industry-standard","1970s","emerging","active","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Wisconsin Electric project; rural service territory with party telephone lines; 5-baud power-line solution selected over costly dedicated data lines."
"magnetic-tape","Magnetic Tape (800 bpi)","platform","industry-standard","1960s-1980s","mature","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Rio customs inspector unspooled tape reel searching for forbidden images; recorded at 800 bits per inch."
"honeywell-2000","Honeywell Computer System","platform","Honeywell","1970s","mature","legacy-end-of-life","volume-1-ch03-physics-of-consulting-1972-1979","Kastner Memoir","Platform at Houghton Mifflin; incompatible with Kastner’s IBM-era tools and habits."
"prime-50-series","Prime 50-Series","platform","Prime Computer","1977-1987","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime’s minicomputer platform family; sold as solutions (banking, engineering) rather than raw MIPS; ran PRIMOS operating system and INFORMATION database environment."
"prime-750","Prime 750","platform","Prime Computer","1979-1985","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Specific Prime minicomputer model; the Prime Office system delivered to the White House ran on a Model 750; also used as base for Prime INFORMATION deployments."
"primos","PRIMOS","platform","Prime Computer","1972-1992","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime’s proprietary operating system; bundled with Prime hardware and INFORMATION database; customers discovered they had bought into the PRIMOS ecosystem after purchasing a business solution."
"prime-information","Prime INFORMATION","platform","Prime Computer","1979-1988","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Database and application development environment based on the Pick operating system; used multi-value dynamic arrays instead of relational tables; strong for commercial apps but created proprietary lock-in; sold as 4GL-like environment."
"pick-os","Pick Operating System","platform","Pick Systems","1965-1995","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Architecture underlying Prime INFORMATION; developed in the 1960s for inventory/distribution; organized data into multi-value dynamic array fields; strong for commercial apps but non-standard and non-relational."
"4gl","4GL (Fourth-Generation Language)","language","various","1978-1995","emerging","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime INFORMATION’s application development environment described as a 4GL database environment; positioned as faster than COBOL-based development."
"office-automation-systems","Office Automation","application","Prime Computer (Prime Office)","1980-1985","emerging","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime Office was the company’s thrust into office automation; Schlegel led the launch; a system running on a Prime 750 was installed at the White House as the first office automation system at federal executive level."
"promis","PROMIS (Prosecutor’s Management Information System)","application","INSLAW Inc.","1973-1991","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Case-management system developed by INSLAW under a federal LEAA grant; tracked defendants, charges, hearings, evidence; Prime won hardware contracts for 20+ systems; later subject of DOJ theft allegations and congressional investigations."
"relational-database","Relational Database","platform","various","1980-present","emerging","active","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Identified by Kastner as the architectural force that eventually made Prime INFORMATION’s non-relational, proprietary model a strategic liability; lock-in became a prison when relational databases grew through the mid-1980s."
"cobol","COBOL","language","various","1959-present","mature","legacy-supported","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime INFORMATION positioned as eliminating the need for ‘an army of COBOL programmers’; contrasted with INFORMATION’s faster application development model."
"vax","DEC VAX","platform","Digital Equipment Corporation","1977-1999","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Prime’s primary competitive reference; Prime positioned its INFORMATION/PRIMOS stack against the VAX ecosystem on faster application cycles and tighter integration."
"x86-architecture","x86 Architecture","platform","Intel","1978-present","emerging","active","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Kastner identifies standardized x86 architecture combined with open operating systems as the economic force that ultimately overwhelmed all proprietary minicomputer platforms including Prime."
"unix","Unix","platform","AT&T / various","1969-present","emerging","active","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","Open operating system that, combined with x86 economics, rendered Prime’s minicomputer architecture economically irrelevant by the late 1980s; specifically cited by Kastner: ‘Intel-based server running Unix’."
"prime-32bit-minicomputer","Prime 32-bit Minicomputer","platform","Prime Computer","1979-1989","growing","legacy-end-of-life","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","General category for Prime’s 32-bit minicomputer family; competed against DEC, Data General, and HP in analyst comparisons."
"cad-cam","CAD/CAM","application","various","1975-present","emerging","active","volume-1-ch04-prime-computer-1979-1981","Kastner Memoir","CAD/CAM applications at Prime customers like Ford classified as technical/scientific, removing them from Kastner’s commercial territory."
"fault-tolerant-computing","Fault-Tolerant Computing","platform","Stratus Computer / Tandem Computers","1974-1987","growing","active","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","General category: computing architectures designed to prevent any interruption from hardware failures."
"fault-tolerant-architecture","Lockstep Fault-Tolerant Architecture","platform","Stratus Computer","1981-1987","emerging","active","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","Four microprocessors arranged in two pairs with hardware comparator; failure handled without software awareness or lost clock cycles."
"nonstop-architecture","NonStop Architecture (Tandem)","platform","Tandem Computers","1976-1997","growing","legacy-supported","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","Software-based fault tolerance using processor pairs and application-level checkpointing; required specialized programmer effort."
"stratus-ft200","Stratus FT200","platform","Stratus Computer","1981-1987","growing","legacy-end-of-life","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","First Stratus product; announced December 1981; rebranded by IBM as the IBM System/88 under OEM agreement."
"ibm-system-88","IBM System/88","platform","IBM (OEM of Stratus FT200)","1986-1990","growing","legacy-end-of-life","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","IBM-branded version of Stratus FT200; OEM deal enabled Stratus marketing message 'The Technology IBM Chose.'"
"ibm-stratus-oem","IBM-Stratus OEM Agreement","platform","IBM / Stratus Computer","1986-1990","growing","legacy-end-of-life","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner Memoir","OEM deal in which IBM rebranded Stratus FT200 as IBM System/88; strategically neutralized startup-risk objections."
