"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ansi-cobol-intermediate","ANSI COBOL (intermediate level)","language","industry","1974-present","current","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Functionality at or near full ANSI intermediate level identified as a top-five priority product gap; FIPS-passing COBOL is identified as a $5M government revenue risk."
"pl-1","PL/I","language","industry","1964-present","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","Ranked #4 in Prime future language priority."
"pascal","Pascal","language","industry","1970-present","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","Ranked #3 in Prime future language priority; 'Pascal bugs' explicitly listed as a Manufacturing Engineering near-term gap."
"ada-language","Ada","language","US DoD / industry","1980-present","emerging","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Ranked #8 in Prime future language priority — emerging at time of writing."
"c-language","C language","language","industry","1972-present","emerging-commercial","mature","prime-industry-product-5-year-plan-1981-0a3546","Ranked #7 in Prime future language priority — interestingly ranked behind PL/I, BASIC, RPG."
"rpg-language","RPG","language","IBM/industry","1959-present","mature","legacy","prime-industry-product-5-year-plan-1981-0a3546","Ranked #6 in Prime future language priority; cited for Query/batch commercial applications."
"unix-pwb","Unix Programmer's Workbench (PWB/UNIX)","framework","AT&T Bell Labs","1977-1990s","mature-research","legacy","prime-industry-product-5-year-plan-1981-0a3546","Cited as the model for Prime's needed integrated programmer-productivity toolset."
"ibm-tso","IBM TSO","platform","IBM","1971-present","mature","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","TSO emulator on Prime suggested to make IBM interactive programmers 'instantly productive on Prime' (mainframe-offload strategy)."
"ethernet","Ethernet","protocol","DEC/Intel/Xerox","1980-present","emerging","mature","prime-industry-product-5-year-plan-1981-0a3546","Plan calls for Primenet gateways to industry-standard local networks like IEEE and Ethernet."
"ieee-802","IEEE 802 LAN standards","protocol","IEEE","1980-present","emerging","mature","prime-industry-product-5-year-plan-1981-0a3546","IEEE 802 referenced as target LAN-standards gateway."
"tempest-secure-terminals","TEMPEST-secure terminals","platform","US Government / industry","1960s-present","mature","legacy-supported","prime-industry-product-5-year-plan-1981-0a3546","Plan identifies a $50M two-year market for Prime OA-compatible TEMPEST-secure terminals in government."
"fips-cobol","FIPS-compliant COBOL","language","US Government standards","1970s-1990s","current","legacy","prime-industry-product-5-year-plan-1981-0a3546","Federal Information Processing Standard COBOL conformance — $5M revenue risk if unaddressed in government market."
"personal-workstation-1984","Prime networked personal workstation (planned 1984)","platform","Prime Computer","planned-1984","planned","never-shipped-as-planned","prime-industry-product-5-year-plan-1981-0a3546","$8K-$10K 1984 entry-level price target; full networking and Prime-host access; benchmarked against Xerox 820, AM Jacquard, AMX 90, Apollo Domain, Three Rivers PERQ, Convergent."
