char_offset,trigger_labels,sentence
29338,best_in_class,"Alongside their modernization efforts, Best In Class are continuing to invest in SOA infrastructure. **Twice as many** Best In Class companies are deploying SOA service layers on the mainframe, with **48%** indicating that spending on SOA platforms is their number one or two funding priority over the next 12 months."
29931,figure_reference,**Figure 8: Technical approaches to legacy modernization**
30779,best_in_class,Best In Class companies understand that legacy applications can be especially challenging to bring into line with more modern architectures.
31111,best_in_class,"Legacy specific development environments are also a key to peak performance, with Best In Class organizations using them at double the rate of other groups."
31660,best_in_class;figure_reference,"Overall, Best In Class organizations reported decreases in costs for development, maintenance, and infrastructure (Figure 8)."
31926,best_in_class;percentage_stat,"This emphasis on productivity is reflected by the Best In Class’ emphasis on in-house application development, 57% versus 28% of the Industry Average."
32079,best_in_class;figure_reference,**Figure 9: Best In Class see improvements in costs and productivity**
32841,best_in_class,"Based on the information in Chapters One and Two, readers should determine whether their organizations fall into the “Laggard”, “Industry Average,” or “Best in Class” categories."
33020,best_in_class,The key to gaining value from this report is moving your organization along the maturity path to Best in Class.
33453,best_in_class,**Understand what you are delivering.** Best In Class organizations know that service level agreements are not just for B2B relationships.
33901,best_in_class,"Best In Class companies use adapters for commodity packages, and focus their efforts on the custom parts of the application."
34389,best_in_class,"Best In Class organizations, however, understand that cost is not the only component of a successful architecture."
34750,best_in_class;percentage_stat,"Forty percent of Best In Class report an increase in productivity, and 56% say that they use legacy IDEs, versus 12% of Industry Average reporting improvement, and 35% using IDEs."
35144,best_in_class,## **Best in Class Steps to Success**
35505,best_in_class,Just under half of Best In Class organizations cite governance as their top concern.
36427,best_in_class,"While it may seem overwhelming, Best In Class organizations use process and technology to succeed."
41961,percentage_stat,These represented 27% of the sample.
42299,percentage_stat;dollar_stat,"_**Company size** :_ About 25% of respondents were from large enterprises (annual revenues above US$1 billion, including 14% over US$5 billion); 35% were from midsize enterprises (annual revenues between $50 million and $1 billion); and 40% of respondents were from small businesses (annual revenues of $50 million or less)."
