"obs_id","study_id","model","prescience_score","confidence","rationale","scored_at","scorer_version","source_pass","elapsed_sec","parse_ok"
"aas-operational-playbooks-aug-2001-b5a001-OBS-025","aas-operational-playbooks-aug-2001-b5a001","sonar-reasoning-pro","4","3","From the 2000s onward, competitive-intelligence functions and sales/marketing operations increasingly formalized SWOT-style competitor assessments and embedded them into CRM, account planning, and product marketing practices, making systematic capture of competitor data table stakes for B2B go-to-market teams. The subsequent rise and widespread adoption of tools such as Salesforce, HubSpot, SEMrush, SimilarWeb, Crayon, and Klue, which centralize and operationalize competitor data for client-facing teams, shows that the ability to capture and analyze data on a client’s competition became operationally critical, aligning well with Aberdeen’s emphasis on this capability. The claim is somewhat generic and not unique to 2001, but its importance and centrality were clearly validated over time.","2026-06-14T18:30:55Z","v6","pass_c_sonar_v1","11.92","true"
"soa-web-services-2007-c3297b-obs-002","soa-web-services-2007-c3297b","sonar-reasoning-pro","0","3","This statement is a contemporaneous survey statistic about 2007 respondents’ self-reported outcomes, not a forward-looking prediction or characterization about how SOA/Web services testing would play out over time. There is no independent longitudinal data set that would allow validating or falsifying the specific ‘94% of Best-in-Class’ figure in later years. While subsequent industry practice did confirm that stronger automated and service-level testing correlates with higher perceived software quality, that does not bear on the accuracy or foresight of this particular 2007 survey percentage.","2026-06-14T18:31:02Z","v6","pass_c_sonar_v1","7.08","true"
"dec-debit-credit-guidelines-kohler-hsu-1-e228b4-OBS-003","dec-debit-credit-guidelines-kohler-hsu-1-e228b4","sonar-reasoning-pro","0","3","The text ""HPS::KASTNER"" is simply a distribution-list or routing identifier, not a substantive analytical claim or forecast about technology, markets, or products. Because it makes no assertion about future developments or characterizations that can be compared against subsequent history, there is nothing to evaluate for prescience.","2026-06-14T18:31:06Z","v6","pass_c_sonar_v1","3.84","true"
"09-maxtor-workshop-prep-guide-a218dc-OBS-001","09-maxtor-workshop-prep-guide-a218dc","sonar-reasoning-pro","3","2","The underlying bet that a distinct ‘midline’/nearline HDD category (high-capacity, lower-cost SATA/NL-SAS drives between primary and archival tiers) would be strategically important and value-differentiated proved broadly correct, as this segment became a major profit pool for Seagate, Western Digital, and later cloud/datacenter deployments in the 2010s and 2020s. However, Maxtor itself did not achieve “continued profitability” via this strategy, as it struggled financially and was acquired by Seagate in 2006, losing its ability to capitalize on the category it sought to aggressively define. Thus the category-level strategic intuition was sound, but the implied outcome for Maxtor’s own profitability did not materialize.","2026-06-14T18:31:16Z","v6","pass_c_sonar_v1","9.59","true"
"ra-soa-2007-97c147-obs-005","ra-soa-2007-97c147","sonar-reasoning-pro","0","3","The observation only states a standalone numeric value ('46%') without indicating what is being measured, what is predicted to change, or how it relates to future outcomes. Without context tying this KPI to an adoption trend, outcome improvement, or forecast, there is no historically checkable claim to compare against post-2007 developments.","2026-06-14T18:31:20Z","v6","pass_c_sonar_v1","3.39","true"
"soa-in-it-e5b373-obs-019","soa-in-it-e5b373","sonar-reasoning-pro","0","3","The observation text only provides the bare value '29%' with no description of what is being measured, which population was surveyed, or what outcome or trend this percentage is meant to represent. Without knowing whether this referred to SOA adoption, planned investment, perceived benefits, or some other metric, it is impossible to compare it against subsequent SOA, web services, or API-driven adoption patterns from 2005 onward, so no historically grounded prescience judgment can be made.","2026-06-14T18:31:25Z","v6","pass_c_sonar_v1","4.32","true"
"outsourcing-adm-864c88-obs-050","outsourcing-adm-864c88","sonar-reasoning-pro","0","1","The claim is presented only as a bare quantitative value ('27%') with no denominator or contextual description (e.g., percent of IT budget, percent of applications outsourced, percent of firms doing X), so it cannot be mapped to any specific, verifiable market outcome. From 2006 onward, application development and maintenance outsourcing did grow substantially worldwide, with large global service providers (e.g., TCS, Infosys, Accenture, IBM Global Services) capturing an increasing share of ADM spend, but without knowing what this 27% was asserting, it is impossible to judge whether the figure proved accurate or not. Because the content of the claim itself is effectively opaque, any scoring would be guesswork rather than a grounded historical assessment.","2026-06-14T18:31:30Z","v6","pass_c_sonar_v1","5.00","true"
"aberdeen-productization-pricing-and-survey-research-program-2000-b7b001-OBS-014","aberdeen-productization-pricing-and-survey-research-program-2000-b7b001","sonar-reasoning-pro","0","3","The text is essentially a checklist of components for a research-driven commercial operation (methods, data, marketing, telesales, field sales) rather than a falsifiable prediction about future technology, markets, or industry structure. While integrated use of quantitative/qualitative research with outbound and field sales did become and remain standard practice in B2B information and IT services from the 2000s through the 2020s, this was already common at the time and the statement does not stake out a specific directional claim that can be scored for prescience.","2026-06-14T18:31:35Z","v6","pass_c_sonar_v1","5.30","true"
"teamquest-8-ec015b-OBS-003","teamquest-8-ec015b","sonar-reasoning-pro","4","3","By 2012, VMware ESX/vSphere had become the dominant x86 virtualization platform in enterprises, and consolidation ratios in the 5–10:1 range (and sometimes higher) were widely cited in case studies and analyst reports as typical goals or outcomes of server consolidation projects, especially for Windows and Linux workloads. These projects were routinely justified in terms of multi‑million‑dollar capex and opex savings from reduced server counts, power, cooling, and floor space, which aligns well with the 2004 ""millions of dollars in savings"" framing, even though the path shifted from simple physical recentralization to virtualization-centric consolidation. The main exaggeration is in calling 5–10x consolidation universal for a ""typical"" enterprise by 2012, as many organizations were still mid-journey with lower ratios, keeping this just short of fully spot-on.","2026-06-14T18:31:45Z","v6","pass_c_sonar_v1","9.00","true"
"real-time-billing-for-internet-protocol--5ef746-OBS-007","real-time-billing-for-internet-protocol--5ef746","sonar-reasoning-pro","4","3","By 2020, real-time, online charging and convergent charging platforms from vendors such as Ericsson (Charging System/CC) and Amdocs were widely deployed among tier-1 and tier-2 operators as the de facto approach for mobile data, voice, and bundled digital services. Stripe Billing (launched 2018) and Recurly, along with similar SaaS subscription/usage billing platforms, made near-real-time rating and invoicing for metered and hybrid plans mainstream, and AWS, Azure, and Google Cloud all operated pay‑as‑you‑go, usage‑metered models as their primary commercial construct, even if customer-visible bills often posted with some delay. The claim somewhat overstates the universality and strict ""real-time convergent"" nature of hyperscaler and SaaS billing, but its core assertion that usage-based, near-real-time charging became the standard pattern across telco, modern SaaS billing platforms, and cloud hyperscalers is directionally accurate by 2020 and fully consistent with practices through the mid‑2020s.","2026-06-14T18:31:57Z","v6","pass_c_sonar_v1","11.45","true"
"teamquest-8-ec015b-OBS-002","teamquest-8-ec015b","sonar-reasoning-pro","2","3","The claim that only capacity modeling permits evaluation of alternative solutions before implementation did not hold up, as pre-production and synthetic load testing (e.g., LoadRunner, JMeter, later cloud-based load services) and simple trend-based extrapolation have been routinely used since the mid‑2000s to compare hardware, configuration, and architectural options before go‑live. From the 2010s onward, cloud auto‑scaling, rightsizing tools (e.g., AWS Compute Optimizer, Turbonomic), and APM platforms (e.g., Dynatrace, New Relic) further entrenched empirical, telemetry-driven and benchmark-based approaches over formal analytic or simulation modeling, which remained a niche rather than the uniquely enabling method the whitepaper implied.","2026-06-14T18:32:08Z","v6","pass_c_sonar_v1","10.88","true"
"real-time-billing-for-internet-protocol--5ef746-OBS-002","real-time-billing-for-internet-protocol--5ef746","sonar-reasoning-pro","4","3","From the 2000s onward, IP-based services shifted heavily toward self-service and instant activation, with SaaS (e.g., Salesforce), cloud platforms (e.g., AWS free tier), and consumer services (e.g., Apple App Store, Google Play, Netflix, Spotify) all normalizing rapid sign-up, trials, and feature experimentation. In telecom, online charging systems (OCS) and real-time policy control (3GPP OCS/PCRF, convergent charging platforms) were adopted specifically to let customers rapidly enable data bundles, roaming passes, and other IP services on demand. The claim is somewhat generic but directionally accurate: agility to “turn on a dime” and try new services quickly became a core competitive requirement for IP and digital services by 2010–2026.","2026-06-14T18:32:16Z","v6","pass_c_sonar_v1","7.75","true"
"2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24-OBS-004","2000-kpmg-creating-a-successful-dot-com-the-devil-is-in-9dea24","sonar-reasoning-pro","4","3","The claim correctly anticipated that early dot-com business models would be easy to imitate, as the late-1990s boom saw scores of similar e-tailers, portals, and service sites flooding the market before the 2000–2002 shakeout.[3] In categories like online retail, travel booking, and online brokerage, follower entry produced intense price competition and thin margins, even as a few scaled leaders such as Amazon and eBay maintained durable advantages rather than being fully commoditized. Because the dynamic of follower entry and margin pressure was real but did not eliminate the long-term dominance of several early winners, the statement is largely but not perfectly accurate.","2026-06-14T18:32:28Z","v6","pass_c_sonar_v1","11.98","true"
"oracle-wp-prod-6-a42b4b-OBS-019","oracle-wp-prod-6-a42b4b","sonar-reasoning-pro","4","3","From the mid-2000s through the 2010s, traditional 1990s ERP vendors such as SAP and Oracle became the dominant long‑run winners in core enterprise applications, consolidating many best‑of‑breed players (e.g., Oracle’s acquisitions of PeopleSoft, JD Edwards, and Siebel) and selling large integrated cross‑enterprise suites. At the same time, the market did not revert to suites alone: best‑of‑breed SaaS vendors like Salesforce (CRM), Workday (HCM/finance), and ServiceNow (ITSM/platform) built major franchises that coexisted with, rather than were displaced by, the big ERP suites, leading to a hybrid suite‑plus‑specialist reality. The direction of the prediction—that legacy ERP suite vendors would regain and retain long‑term strategic primacy with integrated offerings—was largely correct, but understated the enduring strength and innovation of new best‑of‑breed cloud vendors in several major domains.","2026-06-14T18:32:35Z","v6","pass_c_sonar_v1","6.67","true"
"2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef-OBS-013","2000-oracle-the-e-business-supply-chain-meeting-cu-r-re-1a72ef","sonar-reasoning-pro","5","3","SAP announced and completed the acquisition of Ariba in 2012 for roughly $4.3 billion, subsequently rebranding the business as SAP Ariba and positioning it as the core of SAP’s cloud-based procurement and business network portfolio. Over the 2010s and into the 2020s, SAP Ariba remained one of the leading global platforms for indirect procurement, supplier collaboration, and supply chain connectivity, widely adopted by large enterprises and embedded in SAP’s broader Business Network strategy. This fully aligns with the observation that Ariba became SAP Ariba and a major supply chain platform.","2026-06-14T18:32:43Z","v6","pass_c_sonar_v1","7.79","true"
"1992-tpc-benchmarks-vp-ed0e0d-OBS-032","1992-tpc-benchmarks-vp-ed0e0d","sonar-reasoning-pro","0","3","This statement only reports that a vendor was absent from 1991 TPC-A price/performance leadership tables and appeared in Q1 1992 results, which is a contemporaneous factual observation rather than a forward-looking prediction. It does not claim any ongoing trend, future dominance, or broader market impact that could be checked against developments after 1992. Because it is purely backward- and present-looking and too narrow in scope, it cannot be meaningfully evaluated for prescience through 2010–2026.","2026-06-14T18:32:50Z","v6","pass_c_sonar_v1","6.62","true"
"intelitaniummfewp1[1]-773ea2-OBS-007","intelitaniummfewp1[1]-773ea2","sonar-reasoning-pro","0","3","The statement that Intel 'aims to achieve cost parity' is a description of Intel’s then-current strategic intent for Itanium-class systems, not a concrete, time-bound prediction about future market or cost outcomes. By the early 2000s Intel was already marketing Itanium as bringing mainframe/RISC capabilities to industry-standard economics, so the claim largely restates existing positioning rather than forecasting a new state of the world. Because it is vague about what cost baseline is meant and is about intentions rather than realized conditions, it cannot be meaningfully evaluated for prescience.","2026-06-14T18:32:58Z","v6","pass_c_sonar_v1","7.73","true"
"aberdeen-1995-commercial-messaging-OBS-018","aberdeen-1995-commercial-messaging","sonar-reasoning-pro","4","3","From the late 1990s onward, enterprises accumulated large portfolios of client–server, mainframe, and early PC applications (e.g., COBOL/CICS, PowerBuilder, VB6, Oracle Forms) that were designed for LANs or tightly coupled environments and proved ill-suited for WAN, internet, and mobile use. This drove waves of expensive retrofits—Y2K remediation, EAI/messaging middleware (IBM MQ, TIBCO, MSMQ), terminal services/Citrix workarounds, SOA/web services, and later cloud and microservices ‘modernization’ programs—rather than simple lift-and-shift, matching the claim’s direction that networking-limited legacy applications would require costly retrofit or rearchitecting. The statement is somewhat high-level and generic, but as of the 2010s–2020s, legacy-network constraints and the cost of rearchitecting remain central themes in enterprise IT technical debt and digital transformation programs.","2026-06-14T18:33:07Z","v6","pass_c_sonar_v1","9.00","true"
"1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35-OBS-008","1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35","sonar-reasoning-pro","1","3","The HP–Compaq merger was announced in 2001 and legally closed on May 3, 2002, but the transaction value is widely documented at about $25 billion, not a $19–25 billion range, and references consistently describe it as an HP–Compaq *merger* rather than HP simply acquiring Compaq. Contemporary and retrospective accounts (e.g., HP’s own history and major business press) standardize on a single figure around $25 billion, so the numeric band and phrasing in the claim are not precise, even though they point to the correct event and approximate magnitude. Because this is a statement of past fact at the time of writing rather than a forward-looking prediction, prescience as such barely applies and is scored low.","2026-06-14T18:33:11Z","v6","pass_c_sonar_v1","3.69","true"
"1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35-OBS-002","1997-the-compaq-siebel-global-alliance-an-e-roach-to-cu-458c35","sonar-reasoning-pro","0","3","The fragment ""Enterprise-grade sales force automation and customer service/support"" is merely a terse product characterization, not a directional prediction about technology evolution, adoption, or market structure. Although enterprise SFA and customer service capabilities did become core pillars of CRM suites from vendors such as Siebel, Oracle, and later Salesforce, this specific text does not state any forecast that can be meaningfully judged for prescience over time.","2026-06-14T18:33:16Z","v6","pass_c_sonar_v1","4.77","true"
"1997-crm-siebel-systems-pr-569e52-OBS-001","1997-crm-siebel-systems-pr-569e52","sonar-reasoning-pro","0","3","This statement is a contemporaneous headcount figure for Siebel in 1997, not a forward-looking prediction about technology or market direction, so there is nothing to evaluate for prescience against post-2010 outcomes.[1] While Siebel later grew to thousands of employees and was acquired by Oracle in 2005, those developments are unrelated to assessing the foresight of a static 1997 employee-count observation.[1]","2026-06-14T18:33:22Z","v6","pass_c_sonar_v1","4.88","true"
"1997-dynasoft's-boks-family--a-pragmatic-e6df7d-OBS-019","1997-dynasoft's-boks-family--a-pragmatic-e6df7d","sonar-reasoning-pro","5","3","From the early 2000s onward, technologies like Microsoft Active Directory with Kerberos-based integrated authentication, web SSO via SAML 2.0, and later OAuth/OpenID Connect made centralized single sign-on a standard layer of enterprise identity and access management. By the 2010s and 2020s, cloud identity providers such as Okta, Azure AD, Ping Identity, and Google Workspace positioned SSO as a core control plane for security, compliance, and user productivity, and medium-to-large enterprises were broadly expected to have some SSO solution in place. While not universally deployed in the smallest organizations, SSO clearly evolved into essential enterprise infrastructure for mainstream IT by the 2010–2026 period.","2026-06-14T18:33:28Z","v6","pass_c_sonar_v1","5.90","true"
"1997-insession---accessing-and-leveragin-cb2e40-OBS-007","1997-insession---accessing-and-leveragin-cb2e40","sonar-reasoning-pro","5","3","From the late 1990s through the 2020s, core host-based enterprise transaction systems on IBM mainframes and similar platforms (e.g., CICS- and IMS-based COBOL applications in banking, insurance, airlines, and government) remained in heavy production use rather than being wholesale replaced. Organizations largely wrapped these systems with middleware, APIs, and web front ends (SOA, ESBs, API gateways, and later microservices) to extend their life, and many modernization initiatives focused on integration rather than migration, confirming that enterprises needed to leverage existing host ETS for decades beyond 1997.","2026-06-14T18:33:35Z","v6","pass_c_sonar_v1","6.59","true"
"webex--taking-conferencing-to-the-busine-5b8109-OBS-018","webex--taking-conferencing-to-the-busine-5b8109","sonar-reasoning-pro","4","3","VoIP and Internet-based conferencing did inherit many of the Internet’s generic threats—eavesdropping, spoofing, man-in-the-middle, and denial-of-service attacks—leading to an ecosystem of VoIP security standards like SRTP and TLS and specialized SBCs to mitigate these issues. Over 2010–2026, high‑profile incidents such as Zoom‑bombing, misconfigured meeting links exposing confidential meetings, and recurring vulnerabilities in platforms including Zoom, Webex, and Teams made security and privacy one of the most visible drawbacks of web conferencing, even as adoption boomed. The claim slightly overstates things by implying VoIP necessarily suffers *all* Internet flaws and that security remained *the* single biggest drawback, but its core directional point—that security/privacy issues would be a defining concern for Internet VoIP and web conferencing—proved largely correct.","2026-06-14T18:33:45Z","v6","pass_c_sonar_v1","9.67","true"
"aberdeen-1995-hp-customer-interaction-software-OBS-031","aberdeen-1995-hp-customer-interaction-software","sonar-reasoning-pro","2","3","Integrated customer interaction and CRM suites from vendors like Siebel in the late 1990s and Salesforce, Microsoft, Oracle, and SAP in the 2000s–2010s did reduce some of the need to buy completely standalone point products for each interaction channel. However, enterprises continued to adopt numerous specialized tools for contact centers, analytics, marketing automation, chat, survey/feedback, and later digital and AI channels (e.g., Genesys, Zendesk, Marketo, Eloqua, Intercom, Twilio), with modern platforms supporting large app ecosystems rather than eliminating point-product suppliers. The strong and persistent best‑of‑breed ecosystem around core CRM and customer service platforms shows the need was mitigated but never “eliminated.”","2026-06-14T18:33:53Z","v6","pass_c_sonar_v1","7.79","true"
"aberdeen-1995-ibm-as400-sap-r3-OBS-072","aberdeen-1995-ibm-as400-sap-r3","sonar-reasoning-pro","0","3","The fragmentary claim ""520 GB"" does not specify whether this is a disk capacity limit, a benchmark configuration, or some other characteristic, so there is no clear prediction or directional assertion to test against subsequent history. By the late 1990s and 2000s, AS/400 (later iSeries/IBM i) configurations commonly scaled into terabytes of storage and beyond, and enterprise SAP deployments similarly grew far past this capacity, but without context we cannot tell whether Aberdeen was praising, critiquing, or simply describing a then-current configuration. Because the statement is purely numeric and decontextualized, it cannot be meaningfully scored for prescience.","2026-06-14T18:33:59Z","v6","pass_c_sonar_v1","5.80","true"
"dell-storage-profile-2004-OBS-010","dell-storage-profile-2004","sonar-reasoning-pro","0","3","This observation simply reports contemporaneous product specifications and price positioning for EMC CX-series arrays (CX300/CX500/CX700 vs. CX200/CX400/CX600), not a forward-looking prediction about future technology or market evolution. By 2004, the pattern of each new storage generation offering more performance at similar price points was already well established across disk arrays and servers, so the statement neither anticipated a new trend nor staked out a testable forecast for 2010–2026. As a result, it cannot meaningfully be scored for prescience.","2026-06-14T18:34:05Z","v6","pass_c_sonar_v1","5.32","true"
"aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87-OBS-001","aberdeen-megatrends-mfa-cs-mis-1993-05-98fc87","sonar-reasoning-pro","4","2","By the late 1990s and early 2000s, BEA and OECD data show that information processing equipment and software rose to roughly half of non-residential equipment investment in advanced economies, and over 50% of U.S. non-structural equipment investment by around 2000, validating the idea that IT became the dominant category of new capital spending. Across 1995–2015, enterprises poured capex into PCs, client–server systems, ERP (e.g., SAP, Oracle), networking gear, internet infrastructure, and data centers, and later hyperscale cloud operators’ data-center buildouts made IT an even larger share of aggregate capital formation. The 1993 timing and “up to 50%” level were somewhat aggressive for that exact moment and not universally true across all sectors or geographies, but the directional characterization of IT as approaching half of capital expenditure proved broadly correct over the following two decades.","2026-06-14T18:34:29Z","v6","pass_c_sonar_v1","24.29","true"
