"query","candidate_slug","surfaced_by","max_sim","relevant"
"How was Microsoft's entry into enterprise software assessed?","ent-nov-002","incumbent","0.6094","0"
"What did research say about ERP adoption drivers?","study-ee-2005-cio-research-agenda-091505a-4c85cf","candidate","0.6695","1"
"What did research say about ERP adoption drivers?","study-enterprise-introduction-0fadce","candidate","0.6661","1"
"What did research say about ERP adoption drivers?","study-enterprise-introduction-wb060305b-fc9e4f","candidate","0.6628","1"
"What did research say about ERP adoption drivers?","study-enterprise-aligning-for-action-wb060305b-e14454","candidate","0.6591","1"
"What did research say about ERP adoption drivers?","study-2006-enterprise-integration-researchagenda-d977d6","candidate","0.6561","1"
"What did research say about ERP adoption drivers?","study-2004-dellsnapshot-953527","candidate","0.6519","0"
"What did research say about ERP adoption drivers?","erp-systems","incumbent","0.6212","1"
"What did research say about ERP adoption drivers?","erp-suite","incumbent","0.6188","1"
"What did research say about ERP adoption drivers?","erp-software","incumbent","0.6181","1"
"What did research say about ERP adoption drivers?","study-decision-maker-erp-services-805ce8","incumbent","0.608","1"
"What did research say about ERP adoption drivers?","soa-erp-approach","incumbent","0.6078","1"
"What did research say about ERP adoption drivers?","soa-erp","incumbent","0.6064","1"
"Which prescient observations concerned the rise of the internet as a business platform?","internet","both","0.732","1"
"Which prescient observations concerned the rise of the internet as a business platform?","study-psk-misc-speech-agendas-5965a3","both","0.6763","1"
"Which prescient observations concerned the rise of the internet as a business platform?","internet-retail","candidate","0.671","1"
"Which prescient observations concerned the rise of the internet as a business platform?","internet-technology","both","0.6564","1"
"Which prescient observations concerned the rise of the internet as a business platform?","quote-1148","candidate","0.6534","1"
"Which prescient observations concerned the rise of the internet as a business platform?","web-platform","candidate","0.6462","1"
"Which prescient observations concerned the rise of the internet as a business platform?","tech-irp-002","incumbent","0.5608","1"
"Which prescient observations concerned the rise of the internet as a business platform?","study-1998-internet-sales-report-4cde3f","incumbent","0.5424","1"
"Which prescient observations concerned the rise of the internet as a business platform?","internet-commerce-platform","incumbent","0.5424","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","_prescient","candidate","0.7174","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","2030s","candidate","0.7154","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-001","candidate","0.6978","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-002","candidate","0.6817","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","1900s","candidate","0.6808","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","code-pre-003","candidate","0.669","0"
"What were the short-horizon prescience verdicts for late-1990s studies?","1990s","incumbent","0.5684","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-893","incumbent","0.5574","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","study-1991-apple-c-s-e9ffd7","incumbent","0.5392","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-14","incumbent","0.5359","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","quote-867","incumbent","0.5357","1"
"What were the short-horizon prescience verdicts for late-1990s studies?","machine-learning-statistical","incumbent","0.5348","0"
"How did Aberdeen characterize the total cost of ownership debate?","tco-model","both","0.7123","1"
"How did Aberdeen characterize the total cost of ownership debate?","5-year-tco","both","0.6759","1"
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-ttcm","both","0.6698","1"
"How did Aberdeen characterize the total cost of ownership debate?","tco-modeling","both","0.6454","1"
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-two-day-retainer-17500","candidate","0.6447","0"
"How did Aberdeen characterize the total cost of ownership debate?","total-cost-of-ownership","candidate","0.6434","1"
"How did Aberdeen characterize the total cost of ownership debate?","web-hosting-content-license","incumbent","0.5188","0"
"How did Aberdeen characterize the total cost of ownership debate?","aberdeen-pricing-schedule-2000","incumbent","0.4948","0"
"Which late-1990s predictions turned out to be highly prescient about the internet?","1990s","both","0.6667","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","internet-retail","candidate","0.6537","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","2000s","candidate","0.6524","0"
"Which late-1990s predictions turned out to be highly prescient about the internet?","_prescient","candidate","0.6452","0"
"Which late-1990s predictions turned out to be highly prescient about the internet?","tech-ec-005","candidate","0.6388","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","quote-1113","both","0.6331","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","internet","incumbent","0.5927","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","quote-155","incumbent","0.5915","0"
"Which late-1990s predictions turned out to be highly prescient about the internet?","quote-1114","incumbent","0.5777","1"
"Which late-1990s predictions turned out to be highly prescient about the internet?","quote-990","incumbent","0.5602","0"
"What studies scored high on 3-year prescience verdicts?","2030s","candidate","0.781","0"
"What studies scored high on 3-year prescience verdicts?","code-pre-001","candidate","0.7622","0"
"What studies scored high on 3-year prescience verdicts?","_prescient","both","0.7483","0"
"What studies scored high on 3-year prescience verdicts?","code-pre-002","candidate","0.7052","0"
"What studies scored high on 3-year prescience verdicts?","code-prescience-assessment","candidate","0.6663","0"
"What studies scored high on 3-year prescience verdicts?","code-pre-003","candidate","0.6619","0"
"What studies scored high on 3-year prescience verdicts?","1970s","incumbent","0.5628","0"
"What studies scored high on 3-year prescience verdicts?","1990s","incumbent","0.5577","0"
"What studies scored high on 3-year prescience verdicts?","study-1q06-tresury-cashmngt-jp-3dc92d","incumbent","0.5521","1"
"What studies scored high on 3-year prescience verdicts?","study-mac-keeps-lead-on-linux-7-e3bcbf","incumbent","0.5505","1"
"What studies scored high on 3-year prescience verdicts?","2020s","incumbent","0.5505","0"
"How did Aberdeen assess Novell NetWare's competitive decline?","tech-netware","both","0.7572","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","ent-novell","both","0.7357","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","study-aberdeen-1995-novell-predicament","both","0.6953","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","netware-4x","candidate","0.6695","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","quote-173","candidate","0.6552","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","e91-05","candidate","0.6516","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","novell-netware-5","incumbent","0.602","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","novell-netware","incumbent","0.5911","1"
"How did Aberdeen assess Novell NetWare's competitive decline?","novell-nds","incumbent","0.5752","1"
"What did analysts forecast about Linux adoption in the enterprise?","study-2000-linux-multi-client-study-29e6cf","both","0.6893","1"
"What did analysts forecast about Linux adoption in the enterprise?","enterprise-linux","candidate","0.6802","1"
"What did analysts forecast about Linux adoption in the enterprise?","linux","incumbent","0.6747","1"
"What did analysts forecast about Linux adoption in the enterprise?","study-linuxcare-profile-1999","both","0.6664","1"
"What did analysts forecast about Linux adoption in the enterprise?","study-1999-01-linuxcare-draft-profile-6828c0","candidate","0.6655","1"
"What did analysts forecast about Linux adoption in the enterprise?","linux-os","incumbent","0.6625","1"
"What did analysts forecast about Linux adoption in the enterprise?","study-2004-intelitanium-toc-76e2be","candidate","0.6593","0"
"What did analysts forecast about Linux adoption in the enterprise?","ibm-linux","candidate","0.6546","1"
"What did analysts forecast about Linux adoption in the enterprise?","open-source-software","incumbent","0.6505","1"
"What did analysts forecast about Linux adoption in the enterprise?","study-2001-linux-is-on-the-move-up-6bf089","incumbent","0.6367","1"
"Which observations discussed middleware and three-tier architecture?","three-tier-arch","candidate","0.7629","1"
"Which observations discussed middleware and three-tier architecture?","three-tier-css","candidate","0.7427","1"
"Which observations discussed middleware and three-tier architecture?","multi-tier-architecture","candidate","0.7259","1"
"Which observations discussed middleware and three-tier architecture?","tech-s5-010","candidate","0.721","1"
"Which observations discussed middleware and three-tier architecture?","tech-ets-010","both","0.7147","1"
"Which observations discussed middleware and three-tier architecture?","traditional-middleware","candidate","0.6782","1"
"Which observations discussed middleware and three-tier architecture?","three-tier-architecture","incumbent","0.6132","1"
"Which observations discussed middleware and three-tier architecture?","quote-163","incumbent","0.6007","0"
"Which observations discussed middleware and three-tier architecture?","middleware-general","incumbent","0.592","1"
"Which observations discussed middleware and three-tier architecture?","study-middle-1-a64fa0","incumbent","0.5869","1"
"Which observations discussed middleware and three-tier architecture?","quote-934","incumbent","0.5777","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","t2-09","candidate","0.6999","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-1997-datafocus-nutcracker-enterprise-c-bfc11e","candidate","0.6978","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-nt2000-41a391","candidate","0.6948","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","nt-workstation","candidate","0.6898","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","quote-1101","candidate","0.6803","0"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-aberdeen-1996-ncr-fail-safe-enterprise-nt","candidate","0.679","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-aberdeen-1996-digitals-personal-workstation-new-markets-channels","incumbent","0.5854","0"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-aberdeen-1996-digital-leading-nt-across-enterprise-charge","incumbent","0.5835","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-aberdeen-1996-ibm-as400-vs-microsoft-nt-server","incumbent","0.578","1"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-workst-1-d22401","incumbent","0.5728","0"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","study-aberdeen-1995-novell-predicament","incumbent","0.5653","0"
"What was Aberdeen's view on the total cost of ownership of NT versus Unix?","tco-model","incumbent","0.5618","1"
"Which 1980s studies addressed minicomputer market dynamics?","1980s","candidate","0.7426","1"
"Which 1980s studies addressed minicomputer market dynamics?","mini-micro-systems","candidate","0.6932","1"
"Which 1980s studies addressed minicomputer market dynamics?","supermini","both","0.6903","1"
"Which 1980s studies addressed minicomputer market dynamics?","minisupercomputer","both","0.6803","1"
"Which 1980s studies addressed minicomputer market dynamics?","computer-industry-consolidation","both","0.6752","1"
"Which 1980s studies addressed minicomputer market dynamics?","32-bit-minicomputer","both","0.6744","1"
"Which 1980s studies addressed minicomputer market dynamics?","x86-architecture","incumbent","0.5622","0"
"Which 1980s studies addressed minicomputer market dynamics?","cowen-datamation-survey","incumbent","0.5605","1"
"What predictions were made about data warehousing and business intelligence?","tech-data-warehousing","candidate","0.7516","1"
"What predictions were made about data warehousing and business intelligence?","data-warehousing","both","0.7295","1"
"What predictions were made about data warehousing and business intelligence?","data-warehouse","both","0.7147","1"
"What predictions were made about data warehousing and business intelligence?","study-1997-ibm-business-intelligence-family-pr-43c37e","candidate","0.7042","1"
"What predictions were made about data warehousing and business intelligence?","rolap-data-mining","candidate","0.7031","1"
"What predictions were made about data warehousing and business intelligence?","business-intelligence","both","0.7017","1"
"What predictions were made about data warehousing and business intelligence?","quote-989","incumbent","0.612","0"
"What predictions were made about data warehousing and business intelligence?","t5-01","incumbent","0.609","1"
"What predictions were made about data warehousing and business intelligence?","study-data-warehouse-2-years-later-cause-1994-721bb1","incumbent","0.5941","1"
