tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
lindenhurst-chipset,Intel Lindenhurst Chipset,hardware,Intel,2004,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'Intel Lindenhurst was the E7520/E7320/E7525 chipset for Nocona Xeon (circa 2004). Long discontinued; succeeded by many subsequent Intel server chipset generations.', 'source': 'General Intel chipset history'}",intel-ia2004-pk4-kc-edits-de9c37,Industry's first chipset with PCI Express and DDR2; complements Nocona Xeon.
xeon-mp-potomac,Intel Xeon MP Potomac,hardware,Intel,2004,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'Intel Xeon MP Potomac was a circa-2004/2005 MP server processor. Long discontinued; succeeded by many subsequent Xeon MP/E7 generations.', 'source': 'General Intel processor history'}",intel-ia2004-pk4-kc-edits-de9c37,End-2004 32-bit server processor code name; 4-way supported by Twin Castle chipset.
twin-castle-chipset,Intel Twin Castle Chipset,hardware,Intel,2004,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'Intel Twin Castle was the E8501 chipset for Xeon MP Potomac (circa 2004-2005). Long discontinued server chipset.', 'source': 'General Intel chipset history'}",intel-ia2004-pk4-kc-edits-de9c37,New 4-processor chipset for Potomac; Intel's first re-entrance into 4-way IA-32 since early 2002.
canterwood-chipset,Intel Canterwood (875P) Chipset,hardware,Intel,2003,current,"{'lifecycle_current': 'discontinued', 'notes': 'Intel 875P Canterwood chipset was introduced April 2003 as a high-end desktop/workstation chipset. Replaced by Intel 925X Alderwood in 2004. Long discontinued.', 'source': 'https://www.cnet.com/tech/tech-industry/intel-delays-new-pentium-4-chip/'}",intel-ia2004-pk4-kc-edits-de9c37,"Q2-2003 high-end P4 chipset; ECC, Serial ATA, dual-channel DDR400 with PAT, GbE; Canterwood-ES adds PCI-X for true value servers."
serial-ata,Serial ATA (SATA),hardware,Various,2000s,emerging,"{'lifecycle_current': 'active', 'notes': 'Serial ATA (SATA) remains the dominant interface for consumer HDDs and SSDs, though NVMe (PCIe) is rapidly growing for performance SSDs. SATA is mature but widely active.', 'source': 'General knowledge'}",intel-ia2004-pk4-kc-edits-de9c37,Serial disk connections for ATA drives used in mid-line storage; supported in Canterwood and future chipsets.
gigabit-ethernet,Gigabit Ethernet (GbE),protocol,Various,1999-present,growing,"{'lifecycle_current': 'active', 'notes': 'Gigabit Ethernet is mature and widely deployed. Now part of multi-gig standards (2.5G, 5G, 10GbE). Still the dominant LAN standard for endpoint connectivity.', 'source': 'General networking'}",intel-ia2004-pk4-kc-edits-de9c37,20-30% throughput improvement with PCI-E; CPU utilization 10-20%; benefits clusters and iSCSI.
iscsi,iSCSI,protocol,IETF,2003-present,emerging,"{'lifecycle_current': 'active', 'notes': 'iSCSI is actively used for IP-based SAN storage, especially in SMB and virtualized environments. Supported by VMware, Microsoft, and all major storage vendors.', 'source': 'General storage industry'}",intel-ia2004-pk4-kc-edits-de9c37,IP-based SCSI storage protocol benefiting from PCI-E x4/x8 bandwidth improvements.
agp,AGP (Accelerated Graphics Port),protocol,Intel,1997-2006,mature,"{'lifecycle_current': 'discontinued', 'notes': 'AGP (Accelerated Graphics Port) was phased out 2004-2010 in favor of PCI Express. Windows 10 v1607 (2016) dropped AGP support. By 2010 no new motherboard chipsets supported AGP. Fully discontinued.', 'source': 'https://en.wikipedia.org/wiki/Accelerated_Graphics_Port'}",intel-ia2004-pk4-kc-edits-de9c37,Current 8x AGP graphics; to be superseded by PCI-E graphics with 2x throughput.
ecc-memory,ECC Memory (Error-Correcting Code),hardware,Various,1990s-present,mature,"{'lifecycle_current': 'active', 'notes': 'ECC memory is actively used in servers, workstations, and increasingly in desktop systems (AMD Ryzen AM5 and Intel W680). ECC Memory market valued at $12.64B in 2024 with 6.6% CAGR.', 'source': 'https://www.maximizemarketresearch.com/market-report/ecc-memory-market/63727/'}",intel-ia2004-pk4-kc-edits-de9c37,"Server-grade memory with single-bit error correction; future: memory mirroring, spare memory, memory scrubbing."
newcard,NewCard (PCMIA Replacement),hardware,PCI-SIG,2003-2004,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'NewCard (also known as ExpressCard) was the PCMCIA replacement standard. ExpressCard failed to gain widespread use; manufacturers discontinued it as early as 2011. PCMCIA dissolved in 2010. Specification removed from website in 2018.', 'source': 'https://en.wikipedia.org/wiki/ExpressCard'}",intel-ia2004-pk4-kc-edits-de9c37,Standards-based replacement for PCMIA; smaller with less complex connectors; for mobile computers.
