char_offset,trigger_labels,sentence
28328,best_in_class,"**----- Start of picture text -----**<br>
Automation used 38% Best-in-Class<br>to track business 28% Industry Average<br>requirements 21% Laggard<br>Requirements<br>81%<br>managed<br>72%<br>throughout the<br>54%<br>project lifecycle<br>0% 20% 40% 60% 80% 100%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
28904,best_in_class;figure_reference,One way that Best-in-Class companies drive up the quality of deployed services is by reusing tried and tested components (Figure 6).
29571,figure_reference,**Figure 6: Using Governance to Drive Reusability**
29680,best_in_class,"**----- Start of picture text -----**<br>
60%<br>49%<br>50%<br>36%<br>40%<br>30%<br>15%<br>20%<br>10%<br>0%<br>Best-in-Class Industry Average Laggard<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
29939,best_in_class;figure_reference,Best-in-Class companies rely more heavily on dedicated QA resources than do the other groups (Figure 7).
30186,figure_reference,**Figure 7: Software Testing Roles**
30280,best_in_class,"**----- Start of picture text -----**<br>
93%<br>QA testers 79%<br>70%<br>44%<br>Developers 53%<br>45%<br>24%<br>End users 37%<br>36%<br>External beta 18% Best-in-Class<br>testers 5% 17% Industry AverageLaggard<br>0% 20% 40% 60% 80% 100%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
31076,best_in_class;percentage_stat,"Interestingly, when asked if organizations test SOA and web services components outside of the company, 40% of all respondents (although only 32% of Best-in-Class) said that they did."
31427,figure_reference,Training in SOA and web services technologies is an area in which Best-inClass companies show a significant advantage (Figure 8).
31904,figure_reference,## **Figure 8: Training is an Indicator of Maturity**
32165,best_in_class,"**----- Start of picture text -----**<br>
Key developers,  business analysts, and testers are<br>trained in SOA and w eb services technology<br>70%<br>60%<br>60%<br>50%<br>40% 35% 36%<br>30%<br>20%<br>10%<br>0%<br>Best-in-Class Industry Average Laggard<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
32574,best_in_class,"While Best-in-Class companies are twice as likely to have already trained their workers, both the Industry Average (57%) and Laggard (48%) companies plan to take this step in the next twelve months."
32797,best_in_class;figure_reference,Automated testing tools are a key differentiator for Best-in-Class (Figure 9).
33516,best_in_class,"While Best-in-Class companies are 50% more likely to do regression testing than Laggards (64% versus 38%), all of the groups are performing compliance (30%), orchestration (25%), and security testing (41%) at alarmingly low rates."
33747,best_in_class,Fifty percent of the Best-in-Class are executing performance tests.
33817,figure_reference,**Figure 9: Technical Approaches to SOA and Web Services QA**
33936,best_in_class,"**----- Start of picture text -----**<br>
Monitoring / reporting tools in 60%<br>50%<br>production 45%<br>Automated tools for SOA and 48%<br>42%<br>w eb services functional test 29%<br>Orchestration / integration test 40%<br>27%<br>tools 19%<br>24% Best-in-Class<br>Automated tools for extracting<br>18% Industry Average<br>business logic / data 13% Laggard<br>0% 20% 40% 60% 80%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
35875,best_in_class;figure_reference,Best-in-Class companies are much more likely to measure the quality of a web service or SOA component across the entire development lifecycle – from the definition of business requirements to deployment and maintenance (Figure 10).
36784,best_in_class;percentage_stat,"In support of this, the Best-in-Class are increasing their budget for quality at a faster pace than all other respondents: 66% of the Best-in-Class indicated that they have increased their spending on QA per project versus 50% of the Industry Average and 14% of Laggards."
37058,best_in_class;figure_reference,## **Figure 10: The Best-in-Class Focus on Quality Across the Entire Lifecycle**
37196,best_in_class,"**----- Start of picture text -----**<br>
80% 70%<br>70%<br>58%<br>60%<br>49%<br>50%<br>40%<br>30%<br>20%<br>10%<br>0%<br>Best-in-Class Industry Average Laggard<br>**----- End of picture text -----**<br>"
37689,best_in_class,"Based on the information in Chapters One and Two, readers should determine whether their organizations fall into the “Laggard,” “Industry Average,” or “Best-in-Class” category."
37866,best_in_class,The key to gaining value from this report is moving your organization along the maturity path to Best-in-Class.
38251,best_in_class,The Best-in-Class are using integration testing tools at double the rate of Laggard companies.
38350,best_in_class,**Build a culture of quality.** Best-in-Class companies treat quality as an end-to-end process rather than as the last step in the software lifecycle.
38681,best_in_class,√ **94%** of the Best-in-Class reported an increase in software quality
38760,best_in_class,√ **61%** of the Best-in-Class recorded fewer defects
38821,best_in_class,√ **57%** of the Best-in-Class saw reduced time to repair
38886,best_in_class,√ **70%** of the Best-in-Class said maintainability had improved
38955,best_in_class,**Automate.** The Best-in-Class are leveraging automated testing tools at double the rate of Laggards (57% versus 29%).
39514,best_in_class,"Best-in-Class organizations track both business requirements and quality across the enterprise, not on a service-byservice basis."
40070,best_in_class,**Improve visibility of deployed services.** Best-in-Class organizations are using monitoring and reporting tools on their production systems to give them a better understanding of what is going wrong – and what is also going right – in their applications.
40537,best_in_class,## **Best-in-Class Steps to Success**
43947,percentage_stat,_**Industry** :_ The research sample included respondents predominantly from high-technology industries and companies (representing 34% of the sample).
44439,percentage_stat;dollar_stat,"_**Company size** :_ Thirty two percent of respondents were from large enterprises (annual revenues above US$1 billion, including 19% over US$5 billion); 31% were from midsize enterprises (annual revenues between $50 million and $1 billion); and 37% of respondents were from small businesses (annual revenues of $50 million or less)."
